path,pM,pF,pH,s,rM,rF,rH,residual,alpha,alpha_imag,pa_real,pa_imag,SAM,Put,Spd,Spm
diagonal,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.2320427147782235e-11,-0.015875918996514,0.0,-0.0729033332438799,0.0673439533024259,65.06138248397946,98.20362967232712,79.59175253092295,61.35951148733721
diagonal,1.0,1.0,1.0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,1.2954615158378147e-10,-0.0156292434991379,0.0,-0.073201167570244,0.0674458322564186,64.31279916585851,98.5325912215719,79.46179228129995,61.196126768490274
diagonal,1.0,1.0,1.0,0.0666666666666666,0.0666666666666666,0.0666666666666666,0.0666666666666666,1.226467816195509e-10,-0.0153949571507594,0.0,-0.0734959991285719,0.0675422562052381,63.565845091982965,98.89892408440508,79.35911600815946,61.04771547810817
diagonal,1.0,1.0,1.0,0.1,0.1,0.1,0.1,1.1605294503169715e-10,-0.015172696132185,0.0,-0.0737877128368412,0.0676330674323819,62.82005188454637,99.30427326611296,79.28429571370319,60.91452084497196
diagonal,1.0,1.0,1.0,0.1333333333333333,0.1333333333333333,0.1333333333333333,0.1333333333333333,1.5866419289523035e-10,-0.0149621035349173,0.0,-0.0740761887384658,0.0677180847299084,62.07496123522153,99.75036694205129,79.23792307582282,60.79679081091766
diagonal,1.0,1.0,1.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,2.0732215944008203e-10,-0.0147628315178133,0.0,-0.0743613021173525,0.0677971020919849,61.33012329693118,100.23902253051271,79.22060913722292,60.69477722613681
diagonal,1.0,1.0,1.0,0.2,0.2,0.2,0.2,2.7476687591843074e-10,-0.0145745433523103,0.0,-0.0746429235449167,0.0678698874358783,60.58509501667479,100.77215359196742,79.23298410087612,60.60873506664068
diagonal,1.0,1.0,1.0,0.2333333333333333,0.2333333333333333,0.2333333333333333,0.2333333333333333,3.4754066291498015e-10,-0.0143969153336588,0.0,-0.0749209188481798,0.0679361813699789,59.83943838332114,101.35177770835222,79.27569726520595,60.53892168825122
diagonal,1.0,1.0,1.0,0.2666666666666666,0.2666666666666666,0.2666666666666666,0.2666666666666666,4.3169734453840647e-10,-0.0142296385522523,0.0,-0.0751951489854224,0.0679956960289868,59.09271856150221,101.98002552583564,79.34941713880377,60.48559613387347
diagonal,1.0,1.0,1.0,0.3,0.3,0.3,0.3,5.240394784777891e-10,-0.0140724205302714,0.0,-0.0754654698186552,0.0680481139951809,58.34450187939867,102.65915118035916,79.45483178186883,60.44901851340564
diagonal,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.360494353430113e-10,-0.0139249867364827,0.0,-0.0757317317702396,0.068093087323699,57.59435363418802,103.39154436871172,79.59264943009329,60.42944947849024
diagonal,1.0,1.0,1.0,0.3666666666666666,0.3666666666666666,0.3666666666666666,0.3666666666666666,7.63861862651538e-10,-0.0137870819953621,0.0,-0.0759937793544565,0.0681302366869659,56.84183567410147,104.17974438075736,79.76359946661127,60.42714981742765
diagonal,1.0,1.0,1.0,0.4,0.4,0.4,0.4,9.122800292971077e-10,-0.0136584718120067,0.0,-0.0762514505759615,0.0681591506499572,56.086503710239576,105.02645647308972,79.9684338191948,60.442380199025706
diagonal,1.0,1.0,1.0,0.4333333333333333,0.4333333333333333,0.4333333333333333,0.4333333333333333,1.089148327082512e-09,-0.0135389436346276,0.0,-0.076504576189455,0.0681793850827338,55.32790430431518,105.93457104387912,80.20792887346255,60.47540109801472
diagonal,1.0,1.0,1.0,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667,1.300136887039116e-09,-0.0134283080821391,0.0,-0.0767529788197902,0.068190462710614,54.565571470053136,106.90718616700248,80.48288800896812,60.52647293902039
diagonal,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.5399024277940043e-09,-0.0133264001619214,0.0,-0.0769964719460356,0.0681918727939096,53.79902281572999,107.94763416590789,80.7941448842573,60.59585650109632
diagonal,1.0,1.0,1.0,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,1.838458274505683e-09,-0.013233080512077,0.0,-0.0772348587597916,0.0681830709191358,53.02775514282375,109.05951306093996,81.14256762017165,60.68381363066323
diagonal,1.0,1.0,1.0,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,2.185117864428321e-09,-0.013148236698076,0.0,-0.0774679309159444,0.0681634788714308,52.25123940038817,110.24672391716832,81.52906405887646,60.79060831763383
diagonal,1.0,1.0,1.0,0.6,0.6,0.6,0.6,2.6057307422888702e-09,-0.0130717846057734,0.0,-0.0776954672044136,0.0681324845428649,51.46891487579497,111.51351536530412,81.9545883107467,60.916508197863465
diagonal,1.0,1.0,1.0,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,3.105881773990404e-09,-0.0130036699713183,0.0,-0.0779172321835117,0.0680894418138555,50.68018247890899,112.86453688251731,82.42014884421043,61.06178655529487
diagonal,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.721993380167987e-09,-0.0129438701011195,0.0,-0.0781329748316278,0.0680336703228307,49.884396947274126,114.30490282519804,82.92681842744057,61.22672490986864
diagonal,1.0,1.0,1.0,0.7,0.7,0.7,0.7,4.450384949450381e-09,-0.0128923958428663,0.0,-0.078342427292663,0.067964455014274,49.0808577627626,115.84026973255196,83.47574629873307,61.41161629322994
diagonal,1.0,1.0,1.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.7333333333333333,5.349249931896338e-09,-0.0128492938808553,0.0,-0.0785453038161189,0.0678810453222295,48.2687985230955,117.47693011072582,84.0681730290286,61.61676933453846
diagonal,1.0,1.0,1.0,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,6.444849987019552e-09,-0.0128146494505993,0.0,-0.0787413000219056,0.067782653810204,47.447374451638,119.2219268210428,84.70544865141511,61.84251330468626
diagonal,1.0,1.0,1.0,0.8,0.8,0.8,0.8,7.774929144943599e-09,-0.0127885895880313,0.0,-0.0789300926623316,0.0676684540372367,46.61564765181098,121.0831934163472,85.38905477694942,62.08920430085557
diagonal,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,9.42193878472608e-09,-0.0127712870637155,0.0,-0.0791113401046155,0.0675375773619415,45.772569612837216,123.069727415492,86.12063160521573,62.35723279716439
diagonal,1.0,1.0,1.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,1.144516659223882e-08,-0.012762965198282,0.0,-0.0792846838272494,0.067389108318317,44.91696034384873,125.1918057495908,86.90201098765533,62.64703284466472
diagonal,1.0,1.0,1.0,0.9,0.9,0.9,0.9,1.3939825294073673e-08,-0.0127639038087056,0.0,-0.0794497513174506,0.0672220780975838,44.04748334339751,127.46125470612546,87.7352570341578,62.95909327998324
diagonal,1.0,1.0,1.0,0.9333333333333332,0.9333333333333332,0.9333333333333332,0.9333333333333332,1.7015167941281106e-08,-0.0127744466282375,0.0,-0.07960616088606,0.0670354555397271,43.16261538706333,129.89179101074546,88.6227162002555,63.29397140308131
diagonal,1.0,1.0,1.0,0.9666666666666668,0.9666666666666668,0.9666666666666668,0.9666666666666668,2.0808187173315676e-08,-0.0127950106465479,0.0,-0.0797535290913904,0.0668281348661698,42.26060981776016,132.49945678103938,89.56707939848357,63.65230972023584
diagonal,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.5457325136812873e-08,-0.0128260979783357,0.0,-0.0798914817107941,0.0665989191533915,41.33945162470626,135.30317981503777,90.5714595077828,64.03485653137815
async_0.5_0.5_0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.2320427147782235e-11,-0.015875918996514,0.0,-0.0729033332438799,0.0673439533024259,65.06138248397946,98.20362967232712,79.59175253092295,61.35951148733721
async_0.5_0.5_0.5,0.5,0.5,0.5,0.0333333333333333,0.1825741858350553,0.1825741858350553,0.1825741858350553,9.230087272271704e-08,-0.0146716256596066,0.0,-0.0744961427829575,0.0678326297859895,60.97462749159331,100.48777701269668,79.22277193774812,60.651707660466215
async_0.5_0.5_0.5,0.5,0.5,0.5,0.0666666666666666,0.2581988897471611,0.2581988897471611,0.2581988897471611,4.445968215804896e-08,-0.0142711680659017,0.0,-0.0751258500041434,0.0679812366439387,59.2825349193095,101.81570049202388,79.32771434461738,60.49756604603518
async_0.5_0.5_0.5,0.5,0.5,0.5,0.1,0.3162277660168379,0.3162277660168379,0.3162277660168379,1.4228007216843253e-08,-0.013999438982043,0.0,-0.0755956114076597,0.0680709611686151,57.97957326593775,103.00889699330357,79.51783374588085,60.437350917442686
async_0.5_0.5_0.5,0.5,0.5,0.5,0.1333333333333333,0.3651483716701107,0.3651483716701107,0.3651483716701107,7.035396265564486e-09,-0.0137931596636538,0.0,-0.0759819372648565,0.0681287203525618,56.87616977506234,104.14259204349725,79.75508212673162,60.42687548647709
async_0.5_0.5_0.5,0.5,0.5,0.5,0.1666666666666666,0.408248290463863,0.408248290463863,0.408248290463863,4.268400743967504e-09,-0.0136280568366474,0.0,-0.0763145161422524,0.0681649836892056,55.89911129156071,105.2453349014775,80.02443871803914,60.4488846406834
async_0.5_0.5_0.5,0.5,0.5,0.5,0.2,0.4472135954999579,0.4472135954999579,0.4472135954999579,2.916479502346192e-09,-0.0134918036440567,0.0,-0.0766085973505774,0.0681851390394865,55.0109438064395,106.33155288856238,80.31806781922845,60.494459567400966
async_0.5_0.5_0.5,0.5,0.5,0.5,0.2333333333333333,0.4830458915396479,0.4830458915396479,0.4830458915396479,2.1602772903861482e-09,-0.0133771515431186,0.0,-0.0768732511563782,0.0681923967057973,54.18946482407284,107.40974464449688,80.63124346519228,60.55826189286959
async_0.5_0.5_0.5,0.5,0.5,0.5,0.2666666666666666,0.5163977794943222,0.5163977794943222,0.5163977794943222,1.6863168639247304e-09,-0.0132794274905882,0.0,-0.0771143931637936,0.0681888541620135,53.42023243235047,108.48544311594767,80.9608457166874,60.63678811707344
async_0.5_0.5_0.5,0.5,0.5,0.5,0.3,0.5477225575051661,0.5477225575051661,0.5477225575051661,1.3757244232692756e-09,-0.0131954213060244,0.0,-0.0773361351515298,0.0681759721285583,52.69322715639013,109.56252350175446,81.30468408084992,60.72758812046985
async_0.5_0.5_0.5,0.5,0.5,0.5,0.3333333333333333,0.5773502691896257,0.5773502691896257,0.5773502691896257,1.1608847216848515e-09,-0.0131228226162747,0.0,-0.0775414719275615,0.0681548168312242,52.00115847293251,110.64386093379969,81.66115106959464,60.82886689270995
async_0.5_0.5_0.5,0.5,0.5,0.5,0.3666666666666666,0.6055300708194983,0.6055300708194983,0.6055300708194983,1.005858507596713e-09,-0.0130599083896032,0.0,-0.077732664349177,0.0681261951536992,51.3385225880481,111.73169347168958,82.02902771553117,60.939261949942384
async_0.5_0.5_0.5,0.5,0.5,0.5,0.4,0.6324555320336759,0.6324555320336759,0.6324555320336759,8.843414889270206e-10,-0.0130053570783669,0.0,-0.0779114682875496,0.0680907354304155,50.70104047066732,112.82783713915867,82.4073665843239,61.05770999916103
async_0.5_0.5_0.5,0.5,0.5,0.5,0.4333333333333333,0.6582805886043833,0.6582805886043833,0.6582805886043833,7.965184067870722e-10,-0.0129581319056251,0.0,-0.0780792791561272,0.0680489384178107,50.08530394065775,113.93382068227434,82.79541750929876,61.1833626100558
async_0.5_0.5_0.5,0.5,0.5,0.5,0.4666666666666667,0.6831300510639732,0.6831300510639732,0.6831300510639732,7.245546385092894e-10,-0.0129174043032305,0.0,-0.0782372272337505,0.0680012108709126,49.488542793881535,115.05097404220292,83.19257836939762,61.31553050111083
async_0.5_0.5_0.5,0.5,0.5,0.5,0.5,0.7071067811865476,0.7071067811865476,0.7071067811865476,6.680238584522158e-10,-0.0128825018526461,0.0,-0.07838624285234,0.0679478884578088,48.90846592791512,116.18048880903244,83.59836129735282,61.453645384813385
async_0.5_0.5_0.5,0.5,0.5,0.5,0.5333333333333333,0.7302967433402214,0.7302967433402214,0.7302967433402214,6.20843820797745e-10,-0.0128528718064294,0.0,-0.0785271023542723,0.0678892518635358,48.34314960994636,117.32346102924932,84.01236879672628,61.597233041274784
async_0.5_0.5_0.5,0.5,0.5,0.5,0.5666666666666667,0.752772652709081,0.752772652709081,0.752772652709081,5.92621063333354e-10,-0.0128280548673896,0.0,-0.0786604613454254,0.0678255383907676,47.79095683444541,118.48092253515514,84.43427644906993,61.74589382593993
async_0.5_0.5_0.5,0.5,0.5,0.5,0.6,0.7745966692414834,0.7745966692414834,0.7745966692414834,5.582023732131346e-10,-0.0128076659237981,0.0,-0.0787868793052846,0.0677569504913395,47.25047779923648,119.65386461201156,84.86382013834923,61.89928824790222
async_0.5_0.5_0.5,0.5,0.5,0.5,0.6333333333333333,0.7958224257542215,0.7958224257542215,0.7958224257542215,5.337597031029873e-10,-0.0127913796247798,0.0,-0.0789068381627139,0.0676836621537379,46.7204850975687,120.84325644634032,85.3007864547612,62.05712609717525
async_0.5_0.5_0.5,0.5,0.5,0.5,0.6666666666666666,0.816496580927726,0.816496580927726,0.816496580927726,5.150582182977813e-10,-0.0127789193993336,0.0,-0.0790207565663324,0.0676058237560101,46.19989939553511,122.05005996926302,85.745005389669,62.21915811281513
async_0.5_0.5_0.5,0.5,0.5,0.5,0.7,0.8366600265340756,0.8366600265340756,0.8366600265340756,5.014157977711875e-10,-0.0127700489769102,0.0,-0.079129001021244,0.0675235657993343,45.687762727942754,123.27524219186282,86.19634471720343,62.38516950707585
async_0.5_0.5_0.5,0.5,0.5,0.5,0.7333333333333333,0.8563488385776752,0.8563488385776752,0.8563488385776752,4.908145001536468e-10,-0.0127645657552361,0.0,-0.0792318947061765,0.067437001809063,45.18321742607881,124.51978579904342,86.65470564232723,62.55497487001289
async_0.5_0.5_0.5,0.5,0.5,0.5,0.7666666666666666,0.8755950357709131,0.8755950357709131,0.8755950357709131,4.77882622362813e-10,-0.0127622955556948,0.0,-0.0793297245466777,0.0673462306068837,44.685489273177005,125.78469855241966,87.12001941775675,62.72841411772453
async_0.5_0.5_0.5,0.5,0.5,0.5,0.8,0.8944271909999159,0.8944271909999159,0.8944271909999159,4.704645562014774e-10,-0.0127630884365426,0.0,-0.0794227469597743,0.0672513381000884,44.19387387710969,127.07102190928596,87.59224471556129,62.90534924150991
async_0.5_0.5_0.5,0.5,0.5,0.5,0.8333333333333334,0.9128709291752768,0.9128709291752768,0.9128709291752768,4.622791038855212e-10,-0.0127668153236017,0.0,-0.0795111925750727,0.0671523986938609,43.70772552127932,128.37983916822748,88.07136559720075,63.08566168028063
async_0.5_0.5_0.5,0.5,0.5,0.5,0.8666666666666667,0.9309493362512627,0.9309493362512627,0.9309493362512627,4.598632585839368e-10,-0.0127733652791709,0.0,-0.079595270157961,0.067049476406289,43.22644794515385,129.7122833867655,88.55738996676324,63.26925018436663
async_0.5_0.5_0.5,0.5,0.5,0.5,0.9,0.9486832980505138,0.9486832980505138,0.9486832980505138,4.5707793105975725e-10,-0.0127826432773742,0.0,-0.0796751699057594,0.0669426257447289,42.74948664169067,131.06954527263088,89.05034842171099,63.456029071630645
async_0.5_0.5_0.5,0.5,0.5,0.5,0.9333333333333332,0.966091783079296,0.966091783079296,0.966091783079296,4.509104201133596e-10,-0.0127945683848316,0.0,-0.0797510662480398,0.0668318923878497,42.2763223571321,132.45288122150146,89.55029343709116,63.64592680061767
async_0.5_0.5_0.5,0.5,0.5,0.5,0.9666666666666668,0.983192080250175,0.983192080250175,0.983192080250175,4.4627768147620367e-10,-0.0128090722694868,0.0,-0.079823120252301,0.0667173137068854,41.80646555065498,133.8636216561812,90.0572988353133,63.83888480300581
async_0.5_0.5_0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,4.4863668335892726e-10,-0.0128260979784201,0.0,-0.0798914817126387,0.0665989191534831,41.33945162477555,135.30317981256664,90.57145950583744,64.03485653071994
async_0.5_0.5_2,0.5,0.5,2.0,0.0,0.0,0.0,0.0,1.2320427147782235e-11,-0.015875918996514,0.0,-0.0729033332438799,0.0673439533024259,65.06138248397946,98.20362967232712,79.59175253092295,61.35951148733721
async_0.5_0.5_2,0.5,0.5,2.0,0.0333333333333333,0.1825741858350553,0.1825741858350553,0.0011111111111111,5.364597654988755e-10,-0.0159603181651516,0.0,-0.0743503760627063,0.0677397928713194,62.57720278217416,99.5573338864712,79.37102714301076,60.935999636566805
async_0.5_0.5_2,0.5,0.5,2.0,0.0666666666666666,0.2581988897471611,0.2581988897471611,0.0044444444444444,1.074454303306993e-09,-0.0159799934016869,0.0,-0.07495461516081,0.0678805371181407,61.36805071965553,100.43462057749116,79.426217240538,60.819908099525406
async_0.5_0.5_2,0.5,0.5,2.0,0.1,0.3162277660168379,0.3162277660168379,0.01,4.745999149236012e-10,-0.0159747259731602,0.0,-0.0754172876276378,0.0679752073470101,60.34773292277182,101.27730854675436,79.54310618811553,60.76017064269845
async_0.5_0.5_2,0.5,0.5,2.0,0.1333333333333333,0.3651483716701107,0.3651483716701107,0.0177777777777777,3.3205083127541e-10,-0.0159484871949183,0.0,-0.0758049960794129,0.0680436962611897,59.41639796081263,102.12502108203928,79.70066271699987,60.73288817757981
async_0.5_0.5_2,0.5,0.5,2.0,0.1666666666666666,0.408248290463863,0.408248290463863,0.0277777777777777,2.8381919037201437e-10,-0.0159031450525629,0.0,-0.0761434942273793,0.0680936354223709,58.53689284871765,102.99269290944642,79.89070248468484,60.7289115538591
async_0.5_0.5_2,0.5,0.5,2.0,0.2,0.4472135954999579,0.4472135954999579,0.04,2.7969804250460584e-10,-0.0158400384945342,0.0,-0.0764459774539268,0.0681288831685651,57.69119443198492,103.88778344282542,80.10899546187471,60.74361287585651
async_0.5_0.5_2,0.5,0.5,2.0,0.2333333333333333,0.4830458915396479,0.4830458915396479,0.0544444444444444,2.8316549105511513e-10,-0.0157603695691812,0.0,-0.0767202949371545,0.0681516953735738,56.86936324747451,104.81456900014774,80.3529685900318,60.77426955153271
async_0.5_0.5_2,0.5,0.5,2.0,0.2666666666666666,0.5163977794943222,0.5163977794943222,0.0711111111111111,3.0921398774808035e-10,-0.0156653400403806,0.0,-0.0769715867075584,0.068163521182012,56.065522624101725,105.77568352218204,80.62085920517269,60.81910698405517
