rho,frobenius_relative,max_scaled_difference,max_absolute_difference
0.0,3.556541417430377e-11,7.247576427893421e-10,2.529006451368332e-06
1.0,3.054620442192252e-11,1.496402597354754e-09,2.6397101464681327e-06
