fold,s,a,Y,rho,SAM,Put,Spd,Spm,dom_real,near0_real,direction,interpretation
SN_up_low_loss,0.48781580160889826,3.1086460178126427,0.606985925996906,0.18276166829101176,60.97043731002628,100.49077083207554,79.22283865636629,60.65122220581168,-1.7621866530281708e-07,-1.7621866530281708e-07,increasing a,low and middle branches coalesce; trajectory must jump to high branch
SN_down_high_loss,1.3812455884170138,2.723623028022969,1.1089595550103555,0.5769503636118158,52.01053033338607,110.628847376827,81.65613473450195,60.82739960542555,4.406546446018819e-09,4.406546446018819e-09,decreasing a,high and middle branches coalesce; trajectory must jump to low branch
