m,q,n,rho0,n_saddles,status,A,a_SN_on,a_SN_off,Y_SN_on,Y_SN_off,rho_SN_on,rho_SN_off,SAM_SN_on,SAM_SN_off,E_met_on,E_self_crit,E_met_off,E_self_off,bistable_width
0.3,3,3,0.05,2,two_positive_saddles,0.37280511893866525,3.0673164676567546,3.2701867841522207,1.005637848539133,0.6284869349813327,0.5042164115641434,0.19887824812186658,53.70173468801076,60.61017504813418,0.09670477743876514,0.9032952225612352,0.052894058770779094,0.9471059412292326,0.20287031649546616
0.32,3,3,0.05,2,two_positive_saddles,0.3726754101615028,3.0496607752217137,3.2613347294235764,1.0111964532689053,0.6271559117256754,0.5083499013712308,0.19786684494197868,53.60628595560045,60.632787217024166,0.10339473399685223,0.896605266003148,0.05618171761353432,0.9438182823864572,0.21167395420186264
0.33999999999999997,3,3,0.05,2,two_positive_saddles,0.3725457465134602,3.0319456176240154,3.25252624501212,1.0167379753327763,0.6258527639614578,0.5124470072294828,0.19687831219468757,53.511603167284306,60.65488746516988,0.11009914352894881,0.8899008564710515,0.05944482821974795,0.9405551717802554,0.22058062738810458
0.36,3,3,0.05,2,two_positive_saddles,0.3724161279788357,3.0141733100511785,3.2437604701826834,1.0222642364503902,0.6245762146394556,0.5165090018265314,0.19591158879657136,53.417659297642814,60.67649958813211,0.11681657231059717,0.8831834276894031,0.06268407162853154,0.9373159283714511,0.22958716013150493
0.38,3,3,0.05,2,two_positive_saddles,0.3722865545419332,2.996346055799904,3.2350365816001294,1.0277776554937836,0.6233250763267897,0.5205375795800238,0.19496568842913736,53.3244147099795,60.69764570245831,0.12354626039594364,0.8764537396040565,0.06590009151004023,0.9340999084899599,0.2386905258002252
0.39999999999999997,3,3,0.05,2,two_positive_saddles,0.37215702618706215,2.978466109519219,3.2263537907946196,1.0332737404484145,0.6220982427844647,0.524529405648844,0.19403969250249317,53.231948469885175,60.71834640385661,0.13028167498191792,0.8697183250180821,0.06909349718500836,0.9309065028150152,0.2478876812754005
0.42,3,3,0.05,2,two_positive_saddles,0.3720275428985371,2.96053567219465,3.217711341859071,1.0387589705226898,0.6208946815292131,0.528489136861013,0.1931327439417222,53.14015356360537,60.73862090686241,0.1370257644163737,0.8629742355836264,0.0722648663253379,0.9277351336746621,0.25717566966442096
0.43999999999999995,3,3,0.05,2,two_positive_saddles,0.37189810466067835,2.942556895133809,3.209108509352195,1.0442292444005774,0.6197134272429851,0.5324137637921983,0.19224404168173098,53.04909986013109,60.75848716856879,0.14377254815483406,0.8562274518451661,0.07541474737689542,0.9245852526231162,0.26655161421838613
0.45999999999999996,3,3,0.05,2,two_positive_saddles,0.3717687114578117,2.92453199862873,3.2005445963842325,1.0496865523067265,0.618553575915048,0.5363046949645047,0.19137283577442918,52.95875708942121,60.77796199858434,0.15052135792369262,0.8494786420763077,0.0785436617393913,0.9214563382606031,0.2760125977555026
0.48,3,3,0.05,2,two_positive_saddles,0.37163936327426816,2.9064630792536823,3.1920189328654307,1.0551339533087634,0.6174142796204725,0.5401640729036408,0.1905184230277513,52.86907517628006,60.79706115702982,0.15727258062857724,0.8427274193714306,0.08165210573328266,0.9183478942667176,0.2855558536117484
