rho_program,s,mu,b_met,SAM,met,tlogmu,resid,ds,nit,x_b_gly,x_b_glu,x_b_cys,x_b_gsg,x_b_gsh,x_c_thf,x_c_5mf,x_c_2cf,x_c_1cf,x_c_10f,x_c_dhf,x_aic,x_c_glu,x_c_cys,x_glc,x_c_gly,x_c_gsg,x_c_gsh,x_cyt,x_hcy,x_c_ser,x_sah,x_sam,x_met,x_c_coo,x_species_1,x_species_2,x_species_3,x_species_4,x_species_5,x_species_6,x_species_8,x_species_9,x_m_thf,x_m_2cf,x_m_1cf,x_m_10f,x_m_ser,x_m_gly,x_m_coo,x_src,x_dmg,x_parameter_1,x_parameter_2,x_parameter_3,x_parameter_4
1.0,0.0,1.0,30.0,41.339451624776814,61.180140701378534,0.3475026488509225,2.347977759776281e-12,,0,222.4165695603091,58.066435805394086,191.91461736571864,0.833796273929187,12.627259445779197,2.064894373962609,8.076862649567664,0.3313011465261573,0.19550114410258232,2.7065254798607716,0.02491520598021495,0.9521930489800482,3024.4571085681428,122.55539395130717,10.582245552063629,890.4618449904101,106.34678851470166,6432.98769788349,27.773617955241953,0.9204997977054576,583.1945569431622,10.692179481062519,41.339451624776814,61.180140701378534,21.030325991341584,0.01202930437972738,135.3031798125216,64.03485653070788,90.57145950580204,0.03138445206578257,1.1280833625958624,37.253099262726515,162.24690073727353,20.536012906474383,1.6633216389242476,1.5494093979145462,16.451256056686837,2156.101503317673,1970.4546108818206,78.75753636809219,5.800746356149888,0.5279850801761486,99.93447106147838,46.38189481095299,30.341942525999272,0.6072367663272727
1.0,0.028518148898409333,1.01,30.3,41.642906997170954,62.11893218064512,0.35032799872094433,1.702283875837804e-11,,3,222.602851285386,58.05982595990414,192.06798327052175,0.8351677637834578,12.63598269209788,2.083582081117328,8.049106610249636,0.3327884257162993,0.19625522084309763,2.7132377344273717,0.025029927646269358,0.9520945772632352,3023.053140981384,123.01714373459671,10.595424177366437,890.4365138854744,106.52491813632683,6451.304783413453,27.904029523694646,0.9219150376487362,582.8599843542136,10.740676087948541,41.642906997170954,62.11893218064512,20.88918881430978,0.0120178138573338,134.57466928365199,64.00005413232834,90.40106965565784,0.03132390066519312,1.1244842034686922,37.2774178563272,162.22258214367284,20.544325586283524,1.6633115568259074,1.5493781211193274,16.44298473577125,2154.213519139962,1970.4280493833462,78.34665585609419,5.8161554971378955,0.5281989751640305,99.38908300635161,46.32033713639585,30.16060990600627,0.6069199753876151
1.0,0.22856236195869534,1.0855710949889132,32.567132849667395,43.8172883398893,69.26503088946441,0.3713787575549446,5.940137270954438e-11,0.2,2,223.86635295089886,58.01189902922562,193.09997971719608,0.8445898851741377,12.69435575159992,2.21635643518519,7.853109394111578,0.34324986683406694,0.20153430684992368,2.7599123787981488,0.02583761822163062,0.9514146173934215,3013.3822355808315,126.25206398450742,10.684466195595562,890.2956884290028,107.74895323085194,6578.68282825837,28.817492515810223,0.9322578663565014,580.5371730989569,11.089793219426134,43.8172883398893,69.26503088946441,19.965984811769147,0.011935787817784609,129.638719241851,63.75045178800139,89.20763268368538,0.030896694387255015,1.099373747507534,37.44793317300215,162.0520668269979,20.600037439294578,1.6632448787333542,1.549168910770128,16.387548771201978,2141.3563173681187,1970.302400159624,75.6611020927783,5.927066699710555,0.5298768013757428,95.69592408445467,45.887425341506024,28.932590295101825,0.60467758834886
1.0,0.4986796512004757,1.2052119908807735,36.156359726423204,46.86722204969178,80.67798865774662,0.4032781922739717,8.095071279967669e-10,0.27,2,225.44768671132115,57.943900164636425,194.3733398932161,0.8567076735670263,12.765558181875678,2.398692822427169,7.587017841059679,0.3573509241700994,0.2085815614646833,2.8214284729686425,0.02692837791675956,0.950531016736995,3000.8740498706784,130.58611177759295,10.79529968827748,890.1830265326305,109.32391973489362,6746.568357396552,30.04184508473555,0.9472847443781252,577.4822097663118,11.584877108066076,46.86722204969178,80.67798865774662,18.88911007131722,0.011821813449781247,123.45795410887955,63.40035465616695,87.61053079049265,0.03031670944221428,1.0660446288636656,37.67662551412838,161.82337448587157,20.668034345099105,1.6631727671777126,1.548918527620464,16.31987436010322,2125.0753876897393,1970.2577103764945,72.53339193403707,6.083578610382924,0.5325889513373079,91.07636937932457,45.30326563399785,27.396268410362428,0.6016109029612174
1.0,0.8634969704662053,1.4086223025501134,42.2586690765034,51.143142473857125,100.01903564853875,0.45262205957848234,1.0509722869755933e-08,0.36450000000000005,2,227.34540078250802,57.849252941402334,195.8812832460821,0.871828981188494,12.848599968231772,2.6451958806915,7.231960930103252,0.37601867155031976,0.21779281960833632,2.900655649727983,0.028376048417945682,0.9494135733152349,2985.142585950788,136.3042832316957,10.928229891963243,890.1002014039293,111.29041857213855,6962.777639655599,31.66095713809734,0.9691331482260045,573.5485111719746,12.291147428226548,51.143142473857125,100.01903564853875,17.70007938214744,0.011664606147276782,115.98577831269235,62.911492081254934,85.50927101835362,0.029539765446861252,1.0226866894213649,37.97837964520446,161.52162035479572,20.746971860978295,1.6631229679149184,1.5486464914269942,16.24125867968787,2105.0525674373994,1970.299593320127,69.08663679202309,6.303210885337656,0.5368898846640879,85.49883183682523,44.52622892988195,25.540944539040986,0.5974571579594428
1.0,1.3564469037086484,1.7939031659187394,53.817094977562185,57.041041141213235,135.3138738094025,0.5294862461289509,7.33743049930088e-12,0.4920750000000001,3,229.46696139089275,57.7235383072189,197.55709256573397,0.8897307693101418,12.939086540736362,2.9653196937655006,6.777211347787438,0.39974571495024147,0.22931132029865547,2.998189808983684,0.030222114214480265,0.9480687426575725,2966.3201741271823,143.5937340584239,11.07879604444441,889.9751339099163,113.62018034553708,7228.937896550212,33.737074709813385,1.0002265419669023,568.6853629014395,13.291411091357448,57.041041141213235,135.3138738094025,16.484784129357617,0.01145354812053668,107.44278821645044,62.24482466107546,82.844436028453,0.02853299777002858,0.9685327147881284,38.36247529613935,161.1375247038606,20.83176656069596,1.6631563416371862,1.548402394121053,16.15667470354582,2081.526182494962,1970.2991089933485,65.57197693235072,6.602840726152907,0.5433419079675148,79.13135241772994,43.526778206858545,23.42230211831861,0.5919853863908099
1.0,1.8494999075786138,2.3783528478323013,71.35058543496903,62.801097924856776,183.95856400608605,0.6146934948890487,1.1739888798881406e-11,0.4920750000000001,3,231.101297239197,57.60856436627189,198.86043087932222,0.9045505966157152,13.008004141433599,3.2543063951819913,6.37148600082241,0.4208002216626676,0.2393603158967361,3.0821811220391453,0.031865944397050025,0.9469370093402151,2950.5558275799294,150.13358555952342,11.198777017191816,889.7331769276963,115.55021933900501,7458.164958368602,35.61731988394767,1.0310872583069948,564.4556995478036,14.299438047215654,62.801097924856776,183.95856400608605,15.614305356390759,0.011254566360104476,100.58010390434283,61.605898643320444,80.46878718981294,0.027616618583208737,0.9210711576475409,38.70619981755047,160.79380018244953,20.894808219087935,1.6632899189922052,1.5482813680679388,16.09362049385193,2061.9266704854467,1970.055582400909,63.060426796759344,6.887774213090747,0.5497906838529165,74.02321515855446,42.62240574994,21.72227344179949,0.5869043487309041
1.0,2.3426438055040713,3.2922899160993335,98.76869748298,68.11153469179955,248.22915032502326,0.7032042460475554,1.8047785488306545e-12,0.4920750000000001,3,232.3074891056127,57.510244240264086,199.84595076661816,0.9163359015060427,13.05918251239175,3.500018609600912,6.029338115736863,0.43850690648185886,0.2476896530166607,3.1511941529113625,0.0332525622523433,0.946024789938616,2937.889033227721,155.71883314244266,11.291808629314033,889.3690429556608,117.08594627554928,7646.543856829224,37.240604407124245,1.059564057696992,560.933622035549,15.25656541859989,68.11153469179955,248.22915032502326,14.99813919903751,0.011077669579741257,95.23175543233876,61.029666678918204,78.450772737873,0.0268252443783946,0.8813809231138906,38.99913510233571,160.5008648976643,20.94035012679372,1.6634812361614495,1.5482467077753295,16.047921929269506,2046.0559337128811,1969.5608049606622,61.286062490148936,7.140950513487222,0.5555819292591353,70.04635257856324,41.84413182503734,20.39852620321451,0.5824293614813348
1.0,2.835871145991734,4.759457007490673,142.7837102247202,72.71033204465824,327.80529995830625,0.7890593577923004,1.3207374898741583e-11,0.4920750000000001,3,233.16461700451424,57.43111726764406,200.56969854969626,0.9253359219688166,13.09621383125423,3.697328261621399,5.756138344030471,0.45263048555326685,0.2542555077325583,3.2052860735877524,0.03436132747455243,0.9453206696102647,2928.131866333935,160.24656555979237,11.361769309024403,888.9442853868085,118.25925457125417,7794.209102099561,38.57072451104524,1.084028850920671,558.133183138417,16.106702141932836,72.71033204465824,327.80529995830625,14.568066540629612,0.010929612386581229,91.19814820732378,60.5415382620123,76.82094896315469,0.026178021006235102,0.8497585523356059,39.23635162660896,160.26364837339102,20.972442281747043,1.6636841792608152,1.5482602165351707,16.015613322456986,2033.6459933220146,1968.925102145687,60.049486943573775,7.351407754022244,0.5603399911073144,67.04937889552471,41.2087461675501,19.40085301527666,0.5787034372236843
1.0,3.3291501565023136,7.163542829971094,214.90628489913283,76.43379304389472,417.81182097174377,0.8650533646357449,1.1152894358937336e-11,0.4920750000000001,3,233.7528175217665,57.37102686315692,201.08405151212526,0.9319211456883408,13.122229361316334,3.8470845412200787,5.549575436250645,0.46330746101539444,0.259173975807436,3.245657446729258,0.03520113897718831,0.9448012517310097,2920.9438567697566,163.71966815411795,11.412517151168554,888.5328832509343,119.11804208582677,7904.420592194686,39.60074948032132,1.1036087764656517,556.0150364508984,16.809103084891795,76.43379304389472,417.81182097174377,14.273695673954412,0.010813203512980877,88.26780793401268,60.154051520272105,75.57349844298359,0.02567806816020272,0.8258228760081424,39.418290368321706,160.08170963167828,20.99448792239511,1.6638652357529065,1.5482926872266503,15.993354154625338,2024.346506833503,1968.2824541672653,59.20407555532864,7.515246056049832,0.563961870969303,64.8733310594442,40.71826498897671,18.676430234875056,0.5757814476263482
