rho,SAM,met,gain_dlnSAM_dlnmu,alpha_real,alpha_imag,resid
0.0,65.06138248397946,50.60069244747123,1.7792314496694186,-0.015875918996514,0.0,1.2320427147576279e-11
0.05,63.93914800155241,50.9706114172929,1.7559617089545254,-0.0155105745561707,0.0,3.227229630958259e-12
0.1,62.82005188454286,51.34875457285241,1.7318689159813,-0.0151726961322233,0.0,1.3497422680894229e-11
0.15,61.702538507192166,51.735868807627625,1.706733902362184,-0.0148610737829543,0.0,3.2280232561329744e-12
0.2,60.58509501667349,52.13276263353105,1.6803189279108623,-0.0145745433523496,0.0,1.4779288903810084e-12
0.25,59.46623847799635,52.54032187448614,1.6523647488914492,-0.0143120017216342,0.0,1.7610935165660068e-12
0.3,58.34450187939919,52.95952836645523,1.6225872720052863,-0.0140724205303543,0.0,8.512661272388491e-12
0.35,57.21841845914742,53.39148244042099,1.5906736796133718,-0.0138548583900786,0.0,2.0549278810127605e-12
0.4,56.08650371024177,53.83743017984138,1.556277874491326,-0.0136584718119785,0.0,3.824765463475888e-12
0.45,54.94723428201366,54.29879673218622,1.519015041646522,-0.013482525178309,0.0,6.011180407771809e-12
0.5,53.79902281573374,54.77722734459774,1.4784550551075235,-0.0133264001620285,0.0,5.5784702306101795e-12
0.55,52.64018750888171,55.27463832940988,1.434114361480174,-0.0131896050636691,0.0,1.6484591469634324e-12
0.6000000000000001,51.46891487580064,55.79328090985697,1.3854458381639805,-0.0130717846058249,0.0,1.4680714019409353e-12
0.65,50.28321372596319,56.33582194559028,1.33182593555093,-0.0129727308240339,0.0,8.514806375726828e-12
0.7000000000000001,49.08085776277112,56.90544703791829,1.2725381435114602,-0.0128923958428676,0.0,2.302158463862725e-12
0.75,47.859313337163,57.50599369331676,1.206751433040861,-0.0128309075566867,0.0,9.982463683135264e-12
0.8,46.61564765182519,58.14212544022576,1.1334917509216342,-0.0127885895879914,0.0,2.6423078433836e-12
0.8500000000000001,45.34641091933577,58.81956262831753,1.0516037870351416,-0.0127659874630635,0.0,3.2293077000605898e-12
0.9,44.047483343425775,59.54539304629395,0.95969892399603,-0.0127639038088314,0.0,2.187201683516389e-12
0.95,42.713873861147846,60.32849708276616,0.8560832392748743,-0.0127834467602323,0.0,3.522328522623837e-12
1.0,41.3394516247768,61.18014070137853,0.7386561897173082,-0.0128260979782953,0.0,7.630927719272915e-12
