rho_program,s,mu,b_met,SAM,met,tlogmu,resid,gain_dlnSAM_dlnmu,alpha_real,alpha_imag,small_noncons_real,small_noncons_imag
0.0,0.0,1.0,30.0,65.06138248397946,50.60069244747123,0.230234062935294,1.232042714757628e-11,1.787283046576179,-0.0158759189965131,0.0,-0.0158759189965131,0.0
0.0,0.0433105307911096,1.01,30.3,66.22878769304911,50.87984324582444,0.2292385281656789,4.400152552705814e-12,1.7960552239142953,-0.015832671993025,0.0,-0.015832671993025,0.0
0.0,0.2433628237169136,1.056830726722344,31.70492180167032,71.97956841229035,52.10614158854956,0.2235297251454929,1.570143126627954e-09,1.8869789954729037,-0.0156396607945963,0.0,-0.0156396607945963,0.0
0.0,0.5135050758007605,1.1210652213926586,33.63195664177976,80.78908488704373,53.5214312489862,0.2125750379536195,1.84410140491309e-08,2.050510047812977,-0.0153971765122059,0.0,-0.0153971765122059,0.0
0.0,0.87842373424237,1.2071051881678845,36.21315564503653,94.96989435800036,54.73609831188843,0.1912934856599452,5.115907697472721e-12,2.376001325403094,-0.0151038622579839,0.0,-0.0151038622579839,0.0
0.0,1.2434536768370137,1.2880979949278826,38.64293984783648,112.37561920057088,54.78647046007937,0.1634953887384422,1.1147053133521396e-11,2.872526748527469,-0.0148506172654356,0.0,-0.0148506172654356,0.0
0.0,1.6085740314134789,1.3598309509091424,40.79492852727427,133.72538546232124,53.40752725100342,0.1333042511517448,8.800305105411629e-12,3.5923052529062995,-0.0146363423823223,0.0,-0.0146363423823223,0.0
0.0,1.9736883839719064,1.4205870209823526,42.617610629470576,159.73967884403942,50.651954658693406,0.1072124668643588,5.4549057587121855e-12,4.496123940226675,-0.0144550737206721,0.0,-0.0144550737206721,0.0
0.0,2.338701819497824,1.4723025013284827,44.16907503985448,191.1525775785952,46.921334699975176,0.0903852179542528,9.322320693172514e-12,5.342513405611498,-0.0142933649161019,0.0,-0.0142933649161019,0.0
0.0,2.7036082986982253,1.519425722628314,45.58277167884942,228.8091636132249,42.7842896954961,0.0837877365926866,1.0560366126493955e-11,5.782689032022983,-0.0141372758308127,0.0,-0.0141372758308127,0.0
0.0,3.06847334644643,1.5666200056336934,46.9986001690108,273.72816918759503,38.75240774130411,0.0847512970989769,2.160049916710705e-12,5.7349402215265775,-0.0139859956315429,0.0,-0.0139859956315429,0.0
0.0,3.433367941124073,1.6170667343288463,48.51200202986539,327.0351966354705,35.16647215422387,0.0891048133298895,4.636669894905358e-12,5.438905570953192,-0.0138479392073476,0.0,-0.0138479392073476,0.0
0.0,3.798326367086167,1.671799246986579,50.15397740959737,389.7687803098001,32.18922599743306,0.0928448575380275,1.5253862182713488e-11,5.148048670931037,-0.0137282813189819,0.0,-0.0137282813189819,0.0
0.0,4.163337366122244,1.7297770376952093,51.89331113085628,462.6335557382765,29.84525250621182,0.0931456096953911,3.520122042164652e-12,4.990903875837235,-0.0136275701609253,0.0,-0.0136275701609253,0.0
0.0,4.528361000538795,1.7884882297847706,53.65464689354312,545.8210545473877,28.0714163341928,0.0888907383770789,7.091377486325841e-12,5.012705768779961,-0.013544845377199,0.0,-0.013544845377199,0.0
0.0,4.893354890130858,1.8448886281907104,55.34665884572131,638.9878936533797,26.76358656647277,0.0805991907040298,1.0853709630007675e-11,5.230166077932861,-0.0134791836877119,0.0,-0.0134791836877119,0.0
0.0,5.258290103112626,1.8963277882959253,56.88983364887777,741.3763638419462,25.811855011048834,0.0697813886243105,4.400152552705814e-12,5.658119007538625,-0.0134302925301841,0.0,-0.0134302925301841,0.0
