rho_program,s,mu,b_met,SAM,met,tlogmu,resid,ds,nit,x_b_gly,x_b_glu,x_b_cys,x_b_gsg,x_b_gsh,x_c_thf,x_c_5mf,x_c_2cf,x_c_1cf,x_c_10f,x_c_dhf,x_aic,x_c_glu,x_c_cys,x_glc,x_c_gly,x_c_gsg,x_c_gsh,x_cyt,x_hcy,x_c_ser,x_sah,x_sam,x_met,x_c_coo,x_species_1,x_species_2,x_species_3,x_species_4,x_species_5,x_species_6,x_species_8,x_species_9,x_m_thf,x_m_2cf,x_m_1cf,x_m_10f,x_m_ser,x_m_gly,x_m_coo,x_src,x_dmg,x_parameter_1,x_parameter_2,x_parameter_3,x_parameter_4
0.0,0.0,1.0,30.0,65.06138248397946,50.60069244747123,0.23023406293529408,1.232042714757628e-11,,0,218.73317150152943,60.465161622517535,183.0994663813897,0.47263292278399066,12.547065582222855,4.025093302058317,5.360798592550144,0.46396265569485134,0.2594976768036633,3.2553950531951203,0.03525271969790244,0.944676738309725,3236.782294082109,179.792196768023,9.607066151496502,927.5601310006062,59.80626824136652,6272.5149272058525,32.30475815900682,1.0242519486339277,571.2252858005434,15.562669321159415,65.06138248397946,50.60069244747123,13.97581106521721,0.011178638638758188,98.20362967232711,61.35951148733721,79.59175253092295,0.02727425378255086,0.9037514421351917,38.83339076281266,160.66660923718734,20.989363966569115,1.667296818685361,1.5502213120093644,15.993117902736174,2150.0578251144093,2043.4702842089748,58.37100737016889,8.254110230233993,0.6775594631604028,72.25571789959064,42.28537920547802,21.13401399239454,0.5849783133222257
0.0,0.04331053079110968,1.01,30.3,66.22878769304911,50.87984324582444,0.2292385281656789,4.400152552705814e-12,,4,218.95813049835317,60.46359984548346,183.31254087229527,0.4736250701670769,12.560664004934027,4.076778084931988,5.289629948062557,0.4676514783712274,0.2611871645064321,3.2692101005730096,0.03554322355478538,0.9445005970453468,3235.323374322989,181.0112664341279,9.6244076615883,927.3657698981939,59.9331192481245,6298.769553628819,32.66261616775449,1.0315915861539362,570.5238810580826,15.810148713647969,66.22878769304911,50.87984324582444,13.889336642548683,0.011257991264185701,97.7273535676121,61.62241843038211,79.81229692181589,0.027495901815808254,0.9094666827201743,38.79092735570116,160.70907264429877,20.994963089050263,1.6674736953898563,1.5503024025696097,15.987260812990279,2147.069198108431,2043.189335011727,58.12377167645601,8.324191518011661,0.6799107381063286,71.90831200245977,42.43041460565939,21.062281007701717,0.5858093569761793
0.0,0.2433628237169136,1.056830726722344,31.70492180167032,71.97956841229035,52.10614158854956,0.22352972514549296,1.5701431266279542e-09,0.2,2,219.91750275831737,60.45389116339029,184.25955466533588,0.478135167353441,12.620919562895349,4.315236571350687,4.961888426031053,0.4846750995463277,0.2689255989277131,3.3323882604937105,0.03688604366223113,0.9437026194986946,3228.6628743654746,186.70429424384557,9.702735725505137,926.2799838671068,60.50982696862345,6419.786540012406,34.356035655941035,1.0671622337984557,567.2684050092779,17.0530858053829,71.97956841229035,52.10614158854956,13.519576947493642,0.011626767334382816,95.589289922092,62.833840848105766,80.82334138558521,0.028527403848219713,0.9359033614775433,38.59610800329868,160.90389199670142,21.018320059362058,1.6683418295749697,1.5507130912707716,15.962625019792425,2133.1984569041933,2041.5581634117036,57.06794097652849,8.655716463861946,0.6908214174733057,70.3498414428379,43.09715467010726,20.73868682962149,0.5895873083515762
0.0,0.5135050758007605,1.1210652213926586,33.63195664177976,80.78908488704373,53.5214312489862,0.2125750379536195,1.84410140491309e-08,0.27,2,221.0038444553107,60.43488074129482,185.4420180034899,0.4840134465129804,12.695712057721353,4.633905396959181,4.525209817727744,0.5074705339192506,0.2791398753546735,3.4155846326012687,0.03868974356164281,0.9426703157832539,3219.906960453136,194.52887441771998,9.803866502069644,924.3254812518586,61.261654978199715,6581.746780205787,36.74572936149845,1.119503551910858,562.8390614294485,19.02905907056123,80.78908488704373,53.5214312489862,13.089816161556294,0.012128966104529584,92.86232613004098,64.45712834429241,82.16501905475185,0.029935703779141606,0.9715830507245481,38.33721086067887,161.16278913932197,21.043977666772165,1.6696157271799499,1.5513421405013077,15.935064465548392,2114.2270828789565,2038.4804477295627,55.843770867898655,9.117929428555527,0.7052428957928456,68.36475015566431,43.986644219712986,20.322153910216347,0.5945214123928917
0.0,0.87842373424237,1.2071051881678843,36.21315564503653,94.96989435800035,54.73609831188843,0.1912934856599452,5.115907697472721e-12,0.36450000000000005,3,222.1041247101366,60.400379538254654,186.86744089862975,0.49150602820924233,12.7851537279119,5.051195142376035,3.9551193151879707,0.5374733335564271,0.2923323249113024,3.52280632724849,0.04107355671977648,0.9413700121892177,3208.611251714344,205.26066913677298,9.93183066170281,920.8735870721251,62.22023076696966,6795.465120049861,40.14800486605697,1.1977420851158458,556.81905272149,22.368569800309135,94.96989435800035,54.73609831188843,12.615215261143174,0.012809602192265665,89.46742430963464,66.61149993781696,83.92311575639994,0.03185047505456317,1.019365050757312,37.99738396593272,161.5026160340673,21.070176175145473,1.6713898142465153,1.5522471040045418,15.906186906603475,2088.002613715433,2032.8309604522979,54.49589347847285,9.74672253656827,0.7225762589395193,65.89777633746273,45.16038470826508,19.79745674779502,0.6008535598048765
0.0,1.2434536768370137,1.2880979949278826,38.64293984783648,112.37561920057087,54.78647046007937,0.16349538873844222,1.1147053133521397e-11,0.36450000000000005,3,222.83321225715068,60.3585694039168,188.10331547458117,0.49840932082471556,12.86199520532612,5.444770814168279,3.418939031612426,0.5659753476301433,0.30460789308247344,3.622358375105453,0.04334853840122652,0.9401920411138208,3198.055181108652,216.02929891060322,10.049282816303432,916.7250011630466,63.103692244190896,7000.0027385325175,43.71725702090888,1.283761856635484,550.798557529296,26.681244663950825,112.37561920057087,54.78647046007937,12.23813439909827,0.013483170325397071,86.40449849147944,68.69531888649863,85.59996211787879,0.03375159920825902,1.0660211250518266,37.67272408479831,161.82727591520165,21.0902314509014,1.6729793385949172,1.5530678371222817,15.883721373381412,2060.9878942235755,2025.8201414316227,53.42738013413557,10.34177920095426,0.7348355046510294,63.676421482079974,46.288584301313236,19.318037100660106,0.6067563676170671
0.0,1.6085740314134787,1.3598309509091424,40.79492852727427,133.72538546232124,53.40752725100342,0.13330425115174485,8.800305105411629e-12,0.36450000000000005,3,223.27678073623434,60.31252611506639,189.16175832964768,0.5046624125822774,12.927222670943646,5.806834053664762,2.927191777208615,0.5923457154716252,0.31574860190413473,3.7124173817654276,0.0454624699854383,0.9391498826145979,3188.357205637808,226.64622193691753,10.155325953612063,912.2539160441274,63.90417272127128,7191.958195598957,47.39940608582106,1.3760565510833458,544.8352057605431,32.20572269878566,133.72538546232124,53.40752725100342,11.93721382904001,0.014135857128673095,83.68046702152107,70.67208176068898,87.16984042587119,0.035599108465608646,1.110654208732037,37.36836060092475,162.13163939907523,21.108291856443742,1.6740666931379264,1.553615346439616,15.864026103978725,2033.2186731318081,2018.0278503656145,52.57425789984668,10.854176779763689,0.7389221407529427,61.70456365105845,47.35257665596804,18.886701688717256,0.6121654727362544
0.0,1.9736883839719066,1.4205870209823526,42.617610629470576,159.73967884403942,50.651954658693406,0.10721246686435881,5.4549057587121855e-12,0.36450000000000005,3,223.53556200912408,60.26493595911327,190.05993140485026,0.5102451515327299,12.982107525128136,6.132072875561711,2.487373568192414,0.6160558356216679,0.3255916409006935,3.791535422966786,0.04737065675672825,0.9382521704902096,3179.5795346854347,236.93803886256651,10.249258506930593,907.8671037762551,64.61902342815533,7368.99087494831,51.13353560117311,1.4728101680362025,538.9847110555127,39.17297527971606,159.73967884403942,50.651954658693406,11.695317724292503,0.014752362556348025,81.30065283458812,72.50342806194236,88.60668016070696,0.037348551725667575,1.1523090804029248,37.08948639605842,162.4105136039416,21.128216309519612,1.6743465858797544,1.5537085729472537,15.843728531653396,2004.8279554041846,2010.0956148397481,51.885040042851436,11.23788189454805,0.7320699371050025,59.98491531403978,48.333032466794805,18.505940393794965,0.6170198056264841
0.0,2.3387018194978237,1.4723025013284827,44.169075039854484,191.15257757859519,46.921334699975176,0.09038521795425282,9.322320693172514e-12,0.36450000000000005,3,223.70327042250145,60.217698557653655,190.82053101774272,0.515192558958171,13.028219333018559,6.418742099124718,2.1022593087255017,0.6368088378974612,0.3340742775261787,3.8590687536532124,0.049046723072926686,0.9374987459480447,3171.699265318428,246.80355615036973,10.331119651051711,903.8948938805922,65.25266756200656,7530.553071028947,54.87427650164632,1.5724866676283522,533.2746410662515,47.79947852670359,191.15257757859519,46.921334699975176,11.498309042033947,0.015320312976556928,79.25569568621034,74.16158508717989,89.89346155571164,0.03896361692476275,1.1902631114350546,36.839523914879,162.66047608512096,21.153030329438813,1.6735947501579722,1.5532137340534171,15.820161186349806,1975.9203139940562,2002.5509794915836,51.31755478004576,11.46093307945711,0.7124403671831347,58.50962575858025,49.21651399286746,18.17575445900007,0.6212910858119665
0.0,2.7036082986982253,1.5194257226283139,45.58277167884942,228.8091636132249,42.7842896954961,0.08378773659268665,1.0560366126493955e-11,0.36450000000000005,3,223.8507202952521,60.171829809508814,191.46864247336418,0.5195823344394226,13.067223895210898,6.668509358549146,1.7699236613651974,0.6545770672523226,0.3412392892212578,3.915264518200185,0.05048610541188926,0.9368806150791661,3164.6218879462817,256.2309387498008,10.401747020474724,900.5348382560959,65.81500688997093,7677.745870788025,58.60442853193397,1.6742374851762458,527.6947888770952,58.307158290097874,228.8091636132249,42.7842896954961,11.334640056168242,0.015833193078696246,77.51831510579584,75.6363824555387,91.02689348568559,0.040424656636309154,1.224200206314982,36.619206336879536,162.88079366312047,21.18468671734717,1.6716952346811425,1.5520597165304024,15.7915583314413,1946.5037543767883,1995.7138864095523,50.83787058312527,11.50974787299429,0.6793101826610786,57.25805598910631,49.99898278236727,17.89300598570956,0.6249952317317169
