rho_MAT,rho_SAM_feedback,rho_H2O2,SAM_uM,Putrescine_uM,Spermidine_uM,Spermine_uM,Vmax_ODC,Vmax_SAMDC,spectral_abscissa_per_h
0,0,0,65.06138248404048,98.20362967230183,79.5917525309346,61.35951148735111,72.25571789957215,21.13401399239073,-0.01587591899650841
1,0,0,43.779997539660634,110.8370380902818,74.29203805808771,55.18583238875194,81.50038374581422,22.992404686910366,-0.016934981060736452
0,1,0,65.0615600086255,98.2026161488838,79.5908920924652,61.35902692907124,72.25495616049007,21.13370749631888,-0.015893747089242304
0,0,1,55.986244474134494,102.51997560286652,77.66637261059375,59.084713693651224,75.40799844917272,21.778412646227906,-0.012142647101398884
1,1,0,41.78456979231598,134.23806127277058,90.32185442022576,63.983803463597305,99.13711326545783,30.076832757920812,-0.01710064933959818
1,0,1,43.44228136562075,111.12664274008439,74.18172827734315,55.06025251347171,81.71293400876354,23.034047714756284,-0.012652902713379849
0,1,1,54.88650574378096,110.3605923707945,83.78876300215471,62.487082861813676,81.30502763411769,24.145611293000982,-0.012206072456124789
1,1,1,41.33945162481702,135.30317981242447,90.57145950577944,64.03485653070328,99.93447106140559,30.341942525975085,-0.012826097978357891
