reaction,classification,v_plus,v_minus,v_net,cancellation_factor,max_abs_theta_net,max_abs_theta_directional
V_b_GLU_c,opposed MM/linear transport,4696.777124895753,3236.782294082109,1459.9948308136445,5.43396404667854,2.6773588955385295,1.0
V_b_GLY_c,opposed MM/linear transport,2728.7281608263497,927.5601310006062,1801.1680298257434,2.029954024989378,0.6162899609732042,1.0
V_b_SER_c,opposed MM/linear transport,1350.0,571.2252858005434,778.7747141994566,2.4669846757614255,0.7334923378807128,1.0
V_b_MET_c,opposed MM/linear transport,152.23333333333332,50.60069244747123,101.63264088586209,1.9957567176532987,0.49787835882664927,1.0
VmSHMT,difference of independent saturating directional rates,2644.4802772387507,2650.785934737937,-6.305657499186509,839.7643247607135,420.16324461751947,0.9994792410753166
VmFTS,difference of independent saturating directional rates,1007.6134748866893,2651.970892338416,-1644.3574174517266,2.2255407056796637,0.933878284306881,0.5790522393113625
VmNE,shared-factor mass-action difference,314.84045949853675,33.34593637370722,281.4945231248295,1.2369206761363514,1.1184603380681757,1.0
VmMTD,difference of independent saturating directional rates,81835.05241087863,79724.13986354756,2110.9125473310705,76.53523708440378,32.698610288040925,0.8657842763239941
VmMTCH,difference of independent saturating directional rates,4868.510272421414,2757.5977250903625,2110.9125473310514,3.612706744840711,2.2921400748438217,0.993837328769087
VmSERc,difference of independent saturating transport rates,912.9689967530371,910.8671109199747,2.101885833062397,867.7141636259694,393.88401050221427,0.9089132889080025
VmHCOOHc,shared-factor linear directional rates,1945.7002456722964,1397.581106521721,548.1191391505754,6.0995522932753765,3.5497761466376874,1.0
VmGLYc,difference of independent saturating transport rates,879.6530966123214,1399.5499288824503,-519.8968322701289,4.383952515237753,2.315220739628502,0.860045007111755
VcSHMT,difference of independent saturating directional rates,188.9516782389166,184.5781171852118,4.373561053704805,85.4063292674775,42.19704655443192,0.9998550326886638
VcNE,shared-factor mass-action difference,60.37639953087475,10.20717842528673,50.16922110558802,1.4069099818713278,1.203454990935664,1.0000000000000002
VcMTD,difference of independent saturating directional rates,15063.950896252889,15176.045746784137,-112.09485053124808,269.77150600336614,131.96138569998917,0.9747065904220266
VcMTCH,difference of independent saturating directional rates,518.4571998517919,630.5520503830344,-112.09485053124251,10.250330365662784,5.447817210842513,0.9989630856002965
V_SAHH,difference of independent saturating directional rates,225.72310314214084,30.72262413118784,195.000479010953,1.3151030632028566,0.3410323948513899,0.9932179637679495
V_GCS,common-denominator reversible numerator,1233.4200738658924,3.637995503441712e-06,1233.420070227897,1.000000005899037,0.4668207144148183,0.9999999811464251
V_GS,common-denominator reversible numerator,1233.5751254600457,0.15505523214881814,1233.4200702278968,1.0002514232351032,0.6978017671659447,0.9946400660491768
