s,mu,SAM,met,tlogmu,resid
0.0,1.0,65.06138248397946,50.60069244747123,-0.230234062935294,1.2320427147576279e-11
0.0435640821506809,0.99,63.913337040844766,50.31610504117451,-0.231155741457365,6.160213573788139e-12
0.0871281643013618,0.9449242944990854,58.959179206545656,48.97272349913675,-0.2344502076211653,1.481438971495663e-09
0.2871281643013619,0.8866023255937029,53.01782369659754,47.11309191746686,-0.236859810187842,1.4038732842891477e-08
0.5571281643013619,0.8130480751459332,46.15483224931041,44.62623812086285,-0.2375040757776339,1.1733740140548838e-11
0.921628164301362,0.7456929193371484,40.399215363733525,42.25790603505382,-0.2363853855490978,2.346748028109768e-12
1.286128164301362,0.6843216031995971,35.5513214958321,40.055267953906565,-0.2344336831182614,5.182160470776577e-12
1.650628164301362,0.628497813856616,31.450275892161773,38.03151673340363,-0.2321531295170925,1.3603170145870536e-08
2.015128164301362,0.5610410256468256,26.8683274158194,35.5719999273608,-0.2288127809775322,1.2613770651090002e-11
2.5072031643013624,0.5017138274591755,23.157882903307133,33.39609089308205,-0.2249409083632717,1.496051867919977e-11
2.999278164301362,0.44963533650248,20.12758844830285,31.46636651151076,-0.2199008930008028,1.584140856465981e-08
