policy,rho,MATII_Vmax_cap,SAM,met,Put,Spd,Spm,G_Met,G_AA,alpha,residual,solver_ok
published,0.0,220.0,65.06138248397946,50.60069244747123,98.20362967232711,79.59175253092295,61.35951148733721,1.7792314496694117,1.3427157424665894,-0.015875918996514093,1.2320427147782235e-11,True
published,0.05,220.0,63.93914800161107,50.97061141715543,98.71098530913429,79.4070083629268,61.12003436293609,1.755961708954039,1.3259571895320907,-0.015510574555692531,1.5146355281103752e-09,True
published,0.1,220.0,62.82005188458599,51.34875457273866,99.30427326611004,79.28429571370741,60.91452084497618,1.73186891598085,1.3084358866020729,-0.015172696131743948,1.393793525039655e-09,True
published,0.15000000000000002,220.0,61.70253850722165,51.73586880753522,99.98925724016169,79.22559482896826,60.743803590672506,1.7067339023617378,1.2899819852009047,-0.014861073782483124,1.8601724605105119e-09,True
published,0.2,220.0,60.58509501669098,52.132762633458285,100.7721535919821,79.23298410088148,60.60873506664224,1.6803189279103683,1.2704107507129483,-0.014574543351830737,2.84774159808876e-09,True
published,0.25,220.0,59.466238478003056,52.54032187443175,101.65968579799322,79.30863882361604,60.51018169452443,1.652364748890905,1.2495202683790771,-0.014312001721160624,4.0333816286874935e-09,True
published,0.30000000000000004,220.0,58.34450187939592,52.959528366418525,102.65915118040182,79.4548317818821,60.44901851340741,1.6225872720046728,1.2270888123897803,-0.014072420529822924,5.506336719918181e-09,True
published,0.35000000000000003,220.0,57.218418459134824,53.39148244040171,103.77850354292666,79.67393645240101,60.426124679784294,1.590673679612576,1.2028717829710813,-0.013854858389510711,7.341583341258229e-09,True
published,0.4,220.0,56.08650371022015,53.83743017983973,105.0264564731845,79.96843381923358,60.44238019903446,1.5562778744903585,1.1765980849971795,-0.01365847181144617,9.651046184444567e-09,True
published,0.45,220.0,54.947234281983214,54.29879673220281,106.41261359899885,80.34092408136925,60.49866436712244,1.519015041645266,1.1479657789492654,-0.013482525177779809,1.256788095815864e-08,True
published,0.5,220.0,53.79902281569418,54.777227344633786,107.94763416611775,80.79414488437249,60.595856501130115,1.478455055105886,1.1166367765333474,-0.013326400161402198,1.6324463558703428e-08,True
published,0.55,220.0,52.64018750883225,55.27463832946712,109.64344517811163,81.33099816596378,60.73483965857274,1.4341143614779215,1.0822302725207895,-0.013189605063075554,2.1187503307373845e-08,True
published,0.6000000000000001,220.0,51.468914875739934,55.79328090993794,111.51351536579676,81.95458831108044,60.91650819797032,1.3854458381609407,1.0443144918558402,-0.013071784605121796,2.7526539270184003e-08,True
published,0.65,220.0,50.28321372588888,56.33582194569841,113.57321198476446,82.66827512979496,61.141780232042564,1.3318259355467859,1.0023961724599808,-0.012972730823188363,3.586961838664138e-08,True
published,0.7000000000000001,220.0,49.08085776277274,56.90544703792001,115.84026973236602,83.4757462985848,61.411616293181396,1.2725381435115186,0.9559069775336517,-0.012892395842908895,2.000888343900442e-10,True
published,0.75,220.0,47.859313337166185,57.505993693318906,118.33541330255737,84.38111550173937,61.7270459072867,1.2067514330409495,0.9041857023272509,-0.012830907556694856,3.234958967368584e-10,True
published,0.8,220.0,46.6156476518309,58.14212544022859,121.08319341585079,85.38905477654367,62.08920430072361,1.1334917509217834,0.8464546551653002,-0.012788589588045959,5.001368208468193e-10,True
published,0.8500000000000001,220.0,45.346410919345516,58.819562628321655,124.11312431178983,86.50497294839131,62.49938225548725,1.0516037870353927,0.7817878630545207,-0.012765987463212778,7.474909580196254e-10,True
published,0.9,220.0,44.04748334344201,59.545393046300404,127.46125470476402,87.7352570330547,62.959093279623126,0.9596989239964527,0.709067634083562,-0.012763903808927566,1.0919336546066916e-09,True
published,0.9500000000000001,220.0,42.71387386117427,60.328497082776664,131.17237495110996,89.08760115995467,63.47016401923523,0.8560832392755295,0.6269242587497914,-0.012783446760174337,1.5455441371159395e-09,True
published,1.0,220.0,41.33945162481948,61.180140701396304,135.30317981106472,90.57145950465717,64.0348565303382,0.738656189718272,0.5336508346564366,-0.012826097978540637,2.094367346217041e-09,True
