factor,n,p_stable,p_real_unstable,p_complex_unstable,alpha_q01,alpha_median,alpha_q99,n_free_elasticities,endpoint
2,5000,1.0,0.0,0.0,-0.020508212189158322,-0.0160795866331003,-0.008666796992727809,126,phys
3,20000,0.9957,0.0043,0.0,-0.021674939093031077,-0.016402702560554597,-0.00592267749506603,126,phys
5,20000,0.94055,0.0547,0.00475,-0.023997202944743615,-0.01611688279255377,0.27428346891456135,126,phys
2,5000,1.0,0.0,0.0,-0.020168612022738307,-0.013535083403716439,-0.007519782646678975,124,prol
3,20000,0.997,0.00165,0.00135,-0.021158097552240046,-0.014391934095701926,-0.0052814402370983,124,prol
5,20000,0.93925,0.03725,0.0235,-0.023085621235944213,-0.014803549162904411,0.16289822187118305,124,prol
