rho_program,s,eta,SAM,met,tlogeta,resid,ds,newton_it,x_b_gly,x_b_glu,x_b_cys,x_b_gsg,x_b_gsh,x_c_thf,x_c_5mf,x_c_2cf,x_c_1cf,x_c_10f,x_c_dhf,x_aic,x_c_glu,x_c_cys,x_glc,x_c_gly,x_c_gsg,x_c_gsh,x_cyt,x_hcy,x_c_ser,x_sah,x_sam,x_met,x_c_coo,x_species_1,x_species_2,x_species_3,x_species_4,x_species_5,x_species_6,x_species_8,x_species_9,x_m_thf,x_m_2cf,x_m_1cf,x_m_10f,x_m_ser,x_m_gly,x_m_coo,x_src,x_dmg,x_parameter_1,x_parameter_2,x_parameter_3,x_parameter_4
1.0,0.0,1.0,41.3394516247768,61.18014070137859,,1.1147053133707738e-11,,,222.4165695603089,58.066435805394086,191.91461736571847,0.8337962739291856,12.627259445779192,2.064894373962608,8.076862649567667,0.3313011465261571,0.1955011441025823,2.706525479860771,0.0249152059802149,0.952193048980048,3024.4571085681428,122.55539395130684,10.582245552063617,890.4618449904101,106.34678851470156,6432.987697883478,27.773617955241928,0.9204997977054576,583.1945569431622,10.692179481062514,41.3394516247768,61.18014070137859,21.0303259913416,0.0120293043797273,135.30317981252182,64.03485653070788,90.57145950580204,0.0313844520657825,1.1280833625958624,37.25309926272653,162.2469007372735,20.53601290647437,1.663321638924247,1.549409397914546,16.451256056686837,2156.1015033176755,1970.4546108818224,78.75753636809226,5.800746356149888,0.527985080176149,99.93447106147846,46.38189481095298,30.341942525999286,0.6072367663272726
1.0,0.0434723566064861,0.99,41.11742702649441,60.37921081132483,-0.2311891196623541,4.90941518297053e-12,,,218.6684882031457,57.48016274007944,190.93180647478044,0.8261309035356768,12.577418625311084,2.049522813198192,8.096690711167954,0.3306361787085974,0.1951624537295003,2.703123921163717,0.0248639220320377,0.952243017791704,2994.175305467049,121.87432249157544,10.541518590959829,883.0713446553025,105.35140235044392,6331.637641228406,27.592826226576967,0.9220077337725155,579.1606503162386,10.660770794983408,41.11742702649441,60.37921081132483,21.151669355335947,0.0120377174616606,135.8427476424553,64.060312172732,90.69673761989544,0.0314289008920451,1.1307318476850812,37.23522335947381,162.2647766405262,20.52671638711297,1.6635856305039425,1.5495854107009184,16.46011257168218,2129.3402472342445,1956.070804124622,79.11259987084416,5.796196018742883,0.5292529296297086,100.33846096903233,46.42711493778821,30.476260054314512,0.6074691550973754
1.0,0.2435165878452397,0.945201534098326,40.08750821990723,56.81997109041807,-0.2314826800526998,5.391919166123099e-10,0.2,2.0,202.3906609270145,54.83938505132252,186.22651473615815,0.7919934456375528,12.33178838004717,1.9794007884108744,8.188508080878789,0.3274304329662856,0.1935266670347843,2.6865172698350746,0.0246167608742093,0.9524876131774888,2857.9816344490955,118.73203174535432,10.34047698862734,849.9278690381201,100.92250153727947,5900.356017164737,26.753015009194257,0.9289970003581,560.7651148941272,10.515424665469755,40.08750821990723,56.81997109041807,21.72844303233869,0.0120768051033606,138.4208167998489,64.1782909234556,91.28474130274115,0.0316367134883003,1.143187806113266,37.15136882095675,162.34863117904325,20.487039098097583,1.6643755967533544,1.5501485541497826,16.49843675099929,2010.0669739920168,1891.5409984905875,80.79795537204048,5.7747194573118215,0.5350890837945718,102.26933533291576,46.63890966785903,31.118202966711685,0.6085539299813204
1.0,0.5037144161573753,0.8898798410511685,38.73392820216715,52.49926936405205,-0.2317918069762505,1.2273537957426324e-12,0.26,3.0,183.381261726738,51.54498737460069,179.7085143145787,0.750489709156867,11.975475852525443,1.8900026508530492,8.308927005625216,0.3229257898246956,0.1912198729472871,2.662655018804031,0.0242696619457191,0.9528409573670974,2688.5847569414072,114.62228480230743,10.048661086418235,808.9024813806176,95.54674917858034,5416.118156886602,25.644486253037137,0.9381939256766922,537.2837921282975,10.325051924231598,38.73392820216715,52.49926936405205,22.524559800845164,0.0121283085736375,142.0095100437895,64.33300262010192,92.0751920886802,0.0319139426624154,1.159996841934977,37.03876727793327,162.46123272206674,20.44332640242969,1.664337880032862,1.5502622423085937,16.542073475228854,1864.1406804261749,1811.5471778259248,83.11870282574975,5.7455876862129625,0.5426589361137559,104.95879248320344,46.92245841263465,32.01226713864709,0.6099968641268434
1.0,0.8421026777076731,0.8227769969666232,36.967049057915865,47.3919215808565,-0.2316901976037771,1.0267022623151864e-11,0.338,3.0,161.8240708704318,47.50103547084464,170.71110710799843,0.7013612879221536,11.460060481606307,1.7776259203016007,8.465996728489051,0.3165728254069779,0.1879505422778797,2.6280734306908213,0.0237805528336679,0.9533570097906864,2481.45292446911,109.24578438959924,9.627575565972128,758.9574845096312,89.19592175638564,4892.332952366068,24.18463209004392,0.9502787827319644,507.588227951715,10.07707460733681,36.967049057915865,47.3919215808565,23.637690828322267,0.0121956996420154,147.07427335963715,64.5341216574628,93.13853919545026,0.0322829570915171,1.1827241528832522,36.88751540565767,162.61248459434236,20.400580988972266,1.6624406047159306,1.5493349253413338,16.587643480970478,1689.142082183434,1713.8195094110297,86.3549179708317,5.705993235109773,0.5523909179780759,108.7577880717503,47.3017982558739,33.2750276591018,0.6119107100109357
1.0,1.2821880783815716,0.7433126149015183,34.69389231809545,41.57381122454819,-0.2307926987532526,7.040244084446992e-12,0.4394,3.0,138.256972548419,42.65224215106893,158.46104143903307,0.6448821864683579,10.725682986144117,1.6397478600907085,8.668335686698665,0.3076502512545883,0.1833275427688473,2.577844239315428,0.0230944198717614,0.9541150782565102,2234.319697859839,102.23856204747956,9.03130653300627,699.4706670225631,81.91160703798813,4346.604253947499,22.276298787363626,0.966062253248147,470.5501817663528,9.757684380477317,34.69389231809545,41.57381122454819,25.21079493762301,0.0122825094180763,154.3203976262515,64.79088063339698,94.56227780818004,0.0327698251232732,1.213356983822777,36.6854051453855,162.81459485461446,20.370543827610398,1.6567763376325115,1.5462602777105094,16.62641955704659,1484.7601444933223,1596.5818657803827,90.91515151390853,5.652160573344201,0.5646718593886051,114.19987539824396,47.80594753247311,35.083649930648726,0.6144253626950664
1.0,1.7830214608475532,0.6628044538667759,32.19198037561189,35.98433943957082,-0.2288918865565364,1.0560366126670487e-11,0.5,3.0,116.36629296815724,37.688069092562,144.24506067428996,0.5889910014042892,9.838463036168491,1.4965112124922864,8.891772256971533,0.2968907029087583,0.1777042134953123,2.514853334750493,0.0222682793816131,0.9550802815260936,1982.82024765974,94.3256580564819,8.317767357529465,638.6765147021783,74.72071419987978,3856.72983691674,20.12508847066628,0.983834468069816,430.7405973506126,9.403653973850847,32.19198037561189,35.98433943957082,27.147939775922534,0.0123778944494304,163.43482556888054,65.06978412568705,96.20722568266184,0.0333217704508005,1.2490311169444277,36.45247047157485,163.0475295284251,20.374535204386785,1.645863645725071,1.5401230661670662,16.63947808372109,1280.9307329718504,1475.2682897269206,96.5137797863268,5.5880787325233605,0.5777967962207814,121.05684549608245,48.38310294250468,37.36204358883397,0.6172644501965494
1.0,2.2837112035844784,0.5917975009992459,29.82480761309041,31.34786257248155,-0.2263187726589454,1.496051867944986e-11,0.5,3.0,98.57218507663416,33.2807097090961,130.17442500954672,0.53995928375024,8.931849788625112,1.3695963839883143,9.103986229558496,0.2858159272433879,0.1718603582392676,2.447321738405877,0.0214193625646561,0.9561334649009658,1761.0273947591156,86.5744075945803,7.596551122582164,584.4101876955954,68.4267459394355,3461.84793628406,18.03179828029335,1.001006349496266,393.5100159859093,9.063800140454186,29.82480761309041,31.34786257248155,29.185771954418048,0.0124676006227326,173.4153482594466,65.32871640860228,97.84518323526598,0.0338597730107501,1.284845146219355,36.22114299644819,163.2788570035517,20.42308980818567,1.630152680768489,1.5311018570251635,16.615655654020685,1104.0065195806492,1365.0868170271242,102.38443300179834,5.520576915784109,0.5895923743180708,128.58066493335056,48.95216989316048,39.8614918583649,0.6200231096802464
1.0,2.78428151282408,0.5291750521695339,27.61779202742788,27.50692331058241,-0.223435602528388,3.818434031199301e-12,0.5,3.0,83.95858689850282,29.382807475310823,116.56896121296384,0.4960483372594851,8.033423958839226,1.2596618741237529,9.302401717714432,0.2746925273139157,0.1659332709375661,2.376742437415863,0.0205681724944672,0.9572550939521812,1566.257012710277,79.06884900711493,6.8894379925003895,535.8009915555194,62.801511127902856,3132.046774685914,16.0264734230555,1.017101070056307,358.85788739753895,8.739942283334246,27.61779202742788,27.50692331058241,31.236999295111342,0.0125503510776377,184.2074257396965,65.56434796532554,99.4500272858292,0.0343753418275721,1.3202085317203855,35.99509094285201,163.50490905714807,20.520568570842716,1.6096123476488615,1.5191064616743248,16.550712619834105,950.407463388063,1264.3067537881248,108.26939690670028,5.448223356104436,0.5996099194229222,136.73456448274766,49.50431257534641,42.56970723187406,0.6226619785993505
1.0,3.284838774067464,0.4739345899362923,25.57927425206367,24.316323261357944,-0.2202544661147109,1.5547205686487106e-11,0.5,3.0,71.84899138047263,25.946008413161454,103.654113718079,0.455974833977176,7.163952576392577,1.166389401289378,9.485880128712322,0.2637016614976147,0.1600194547034032,2.3042808019834533,0.0197285518138263,0.9584295271832868,1395.758783732649,71.87985016164308,6.211666974823601,492.07003160326497,57.67726835297301,2848.2921831396225,14.132365356378749,1.0315813025795415,326.7567812548673,8.431935141504722,25.57927425206367,24.316323261357944,33.18695988712899,0.0126256215057401,195.77272754032415,65.77564565901513,101.00457328565216,0.0348635429116648,1.3547135180866778,35.77668975884146,163.72331024115852,20.671149988914014,1.5842392991902066,1.504042830130881,16.440567881764903,817.113691794352,1171.4778325277823,113.82865935710387,5.368915200226601,0.6074121267269716,145.4941123444297,50.0340656834002,45.47852162344335,0.6251596149235454
