,SAM,Put,Spd,Spm
$\Delta_M$,-17.66234809704176,20.554527030178644,2.1823250063219533,-1.5063975188407532
$\Delta_F$,-1.2994546734792252,13.8542908748347,9.635269385916473,5.293614925489884
$\Delta_H$,-5.008256654072344,4.457261335482972,0.6029465735394481,-0.3053171672829258
$I_{MF}$,-0.7496740705949705,9.934489252579727,6.574504409370697,3.5926726205485835
