path,pM,pF,pH,max_alpha,s_at_max,rM_at_max,rF_at_max,rH_at_max,min_margin,max_pa_real,min_pa_real,min_SAM,max_Put,max_residual
async_2_2_0.5,2.0,2.0,0.5,-0.0124852262431274,0.7333333333333333,0.5377777777777777,0.5377777777777777,0.8563488385776752,0.0124852262431274,-0.0729033332438799,-0.0798914817113908,41.33945162476136,135.3031798080183,3.352310145032789e-07
async_2_0.5_0.5,2.0,0.5,0.5,-0.0125130149344111,0.7333333333333333,0.5377777777777777,0.8563488385776752,0.8563488385776752,0.0125130149344111,-0.0729033332438799,-0.0798977561300442,41.33945162477366,135.30317981236175,3.3600674953504495e-07
async_0.5_2_0.5,0.5,2.0,0.5,-0.0127225395895693,0.7333333333333333,0.8563488385776752,0.5377777777777777,0.8563488385776752,0.0127225395895693,-0.0729033332438799,-0.0798914817120973,41.33945162477008,135.30317981378832,9.057323779870785e-08
async_0.5_0.5_0.5,0.5,0.5,0.5,-0.0127622955556948,0.7666666666666666,0.8755950357709131,0.8755950357709131,0.8755950357709131,0.0127622955556948,-0.0729033332438799,-0.0798914817126387,41.33945162477555,135.30317981256664,9.230087272271704e-08
async_2_2_2,2.0,2.0,2.0,-0.0127625484811991,0.9333333333333332,0.8711111111111112,0.8711111111111112,0.8711111111111112,0.0127625484811991,-0.0729033332438799,-0.0798914817192334,41.339451625040994,135.30317980350006,1.278009165162075e-07
diagonal,1.0,1.0,1.0,-0.012762965198282,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.012762965198282,-0.0729033332438799,-0.0798914817107941,41.33945162470626,135.30317981503777,2.5457325136812873e-08
async_2_0.5_2,2.0,0.5,2.0,-0.0127757775361188,0.9333333333333332,0.8711111111111112,0.966091783079296,0.8711111111111112,0.0127757775361188,-0.0729033332438799,-0.0798914817137471,41.33945162482259,135.30317981112756,1.1811391686933349e-07
async_0.5_2_2,0.5,2.0,2.0,-0.0128260979781437,1.0,1.0,1.0,1.0,0.0128260979781437,-0.0729033332438799,-0.0798914817100569,41.3394516247043,135.30317981764037,1.1031971780539608e-08
async_0.5_0.5_2,0.5,0.5,2.0,-0.0128260979781974,1.0,1.0,1.0,1.0,0.0128260979781974,-0.0729033332438799,-0.0798914817125454,41.33945162474625,135.3031798128219,7.919538802525494e-09
