rM,rF,rH,residual,alpha,alpha_imag,SAM,Put,Spd,Spm
0.0,0.0,0.0,1.2320427147782235e-11,-0.015875918996514093,0.0,65.06138248397946,98.20362967232711,79.59175253092295,61.35951148733721
0.0,0.0,0.25,7.604927034776665e-07,-0.01420313870080923,0.0,62.58723905973452,99.26670654569172,79.10544286642943,60.78149170262032
0.0,0.0,0.5,5.284671331651225e-07,-0.013102605990986813,0.0,60.264904338884726,100.33699350000302,78.62397071641298,60.21152437111888
0.0,0.0,0.75,3.403041333172041e-07,-0.012445541171666357,0.0,58.069815351358955,101.42029097484718,78.14474080748073,59.64648282539435
0.0,0.0,1.0,2.1159216601063235e-07,-0.01214264710155806,0.0,55.98624447385653,102.51997560300302,77.6663726105345,59.084713693581485
0.0,0.25,1.0,7.872947627163285e-09,-0.012157448814460785,0.0,55.72638912433571,104.35112055445066,79.10183899962821,59.88720008609821
0.0,0.25,0.75,3.96346919728785e-08,-0.012457019159858472,0.0,57.86922992258995,102.76702985921361,79.22218669481302,60.24998408131525
0.0,0.25,0.5,4.7920934775902424e-08,-0.013111627494360161,0.0,60.126804077979976,101.2186209290814,79.34362273640517,60.61537874018395
0.0,0.25,0.25,8.308182941618725e-08,-0.014209888607022566,0.0,62.515570189786466,99.7003781042125,79.46651195597039,60.984483603147915
0.0,0.25,0.0,1.3747795435392618e-07,-0.01588000849821725,0.0,65.06142296478777,98.2033985514463,79.59155631861145,61.35940098980248
0.0,0.5,0.0,6.746900580928367e-12,-0.015884329245398683,0.0,65.06146589086013,98.20315348519433,79.5913482683306,61.35928382588929
0.0,0.5,0.25,7.662606975600283e-07,-0.014216999789159926,0.0,62.44000255926535,100.15847390197166,79.84771833994402,61.19858641464115
0.0,0.5,0.5,5.715250139814998e-07,-0.013121103207408325,0.0,59.98196015086098,102.14662687315605,80.10030276046245,61.039187470436566
0.0,0.5,0.75,3.8752469322389516e-07,-0.01246904884708299,0.0,57.659924036793406,104.17990117700337,80.35058008304115,60.880195228329754
0.0,0.5,1.0,2.4082147120907393e-07,-0.012172938599839943,0.0,55.45660409524875,106.26604206461626,80.59931562223262,60.721150180682955
0.0,0.75,1.0,2.37467823183124e-10,-0.012189139292144666,0.0,55.17669566754317,108.26810001178764,82.1609403967617,61.58748815892041
0.0,0.75,0.75,9.011204582520804e-08,-0.01248165362681697,0.0,57.441559750022954,105.66234498681395,81.53238287596784,61.53829574383676
0.0,0.75,0.5,1.338104738124457e-07,-0.013131057813222458,0.0,59.82998813189431,103.12401416525339,80.89632833025121,61.48414006635164
0.0,0.75,0.25,1.623259322514059e-07,-0.014224497369324744,0.0,62.36024381991142,100.64290983703849,80.25062257582277,61.424643585293616
0.0,0.75,0.0,1.8045350458351095e-07,-0.015888901281750262,0.0,65.06151148473016,98.20289317476522,79.59112727538135,61.35915937297137
0.0,1.0,0.0,6.746900580928367e-12,-0.01589374708928226,0.0,65.06156000855674,98.20261614895385,79.5908920924915,61.35902692907871
0.0,1.0,0.25,6.366694336179535e-07,-0.014232408335104217,0.0,62.275975958192205,101.15578182890836,80.67692935623919,61.66357444112446
