SAM,mu,delta_mu_times_S,residual_other,sam_balance,met,sah,c_5mf,V_MATI,V_MATIII,reaction_13,V_GNMT,V_DNMT,reaction_2
100000.0,2.1505164945344717,128.60452940413046,3.319634693584755e-11,1.3145040611561853e-13,22.812773088811877,918.8720552010561,0.0028742816200659172,21.354857403029772,230.57914919670645,0.0,59.594028445525254,178.358615503478,13.98136265073283
300000.0,2.15136774725861,130.43777097085928,3.0684861902164676e-09,-2.842170943040401e-14,22.816506903543836,941.2072366360529,0.000951987955977401,21.357083662030536,230.621193845789,0.0,58.55850441824996,179.43620710888214,13.983565980687473
1000000.0,2.151671423076937,131.11675157606584,3.406217431592855e-12,-3.895550548804749e-12,22.817906860233077,949.4654406007581,0.0002849388967326011,21.35791867634858,230.63635092645887,0.0,58.18092540537606,179.8290068122047,13.98433738523059
3000000.0,2.1517587722785776,131.30264980620865,2.619159400237959e-11,-3.813838134192338e-12,22.818316013779263,951.8703887848714,9.491646045758224e-05,21.358162745327796,230.64072671275494,0.0,58.07150970339342,179.94282194538835,13.984557809304794
10000000.0,2.151789415053957,131.24774556061425,1.5336123481305975e-07,1.0658141036401503e-14,22.81846024733289,952.7170278294351,2.8464477115260488e-05,21.358248786740017,230.64226370109114,0.0,58.03304999575509,179.98282753195346,13.984634960122566
30000000.0,2.1517981664058987,131.20267842836597,3.0634856981331183e-09,5.133671265866724e-13,22.81850147898094,952.9593959896176,9.488719016367988e-06,21.358273383075055,230.6427025501232,0.0,58.022044903977935,179.99427402577865,13.984657003441155
100000000.0,2.151801228293969,131.15345440795068,8.382817839665609e-08,3.801403636316536e-13,22.81851590732496,953.04427446833,2.8486543057947537e-06,21.35828199012881,230.64285606292808,0.0,58.018191317726775,179.99828201670314,13.98466471862658
300000000.0,2.151802105524517,130.2911987632882,6.195943314354117e-08,9.450218385609332e-13,22.818520047709224,953.0685301919283,9.503900816256654e-07,21.358284460109278,230.64290011045762,0.0,58.01709032689447,179.99942732070392,13.984666922967556
1000000000.0,2.1518024153360447,124.4924683341253,9.550439056902867e-10,8.029132914089132e-13,22.818521517136467,953.0770201919873,2.846309159233998e-07,21.358285336804965,230.6429157429782,0.0,58.01670519099485,179.99982819430036,13.984667694487136
3000000000.0,2.151802495007429,134.46325253241298,1.5727223440818283e-07,-3.675282300719118e-12,22.818521872588214,953.0794459536287,9.879150188106306e-08,21.358285548572752,230.6429195226502,0.0,58.01659442505386,179.99994273125145,13.984667914921326
10000000000.0,2.1518025309403734,88.88139557683417,5.2359919768222267e-08,-3.888445121447148e-12,22.818522055576196,953.0802949751841,2.9766072610693715e-08,21.358285657917563,230.64292147032782,0.0,58.016556316819646,179.99998281935632,13.984667992073293
