rho_program,s,eta,SAM,met,alpha_real,alpha_imag,tlogeta,resid
1.0,0.0,1.0,41.3394516247768,61.18014070137859,-0.0128260979783249,0.0,,1.1147053133707738e-11
1.0,0.043062618987101,1.01,41.55865167207105,61.98322127995776,-0.0125656888535109,0.0,0.2310665511577133,2.7284841053187847e-12
1.0,0.2431066979671999,1.0576999969933902,42.56613310559951,65.84081853877119,-0.0114265904787249,0.0,0.2306811873232231,3.4887822741884076e-10
1.0,0.503304901962307,1.1228754810091828,43.84480020032471,71.17127646115802,-0.0101390433928802,0.0,0.2298096278629774,1.5547205686487106e-11
1.0,0.841707172750414,1.2131587799863213,45.44231112276442,78.63380593892933,-0.0088116583061189,0.0,0.2285289955725356,9.973679119633238e-12
1.0,1.2819820306304144,1.3404345027045454,47.38866622408533,89.22877228470621,-0.0076184948212945,0.0,0.2266000326492836,7.920274595002867e-12
1.0,1.7838916196927888,1.4990230581417896,49.39315002127452,102.4203699007515,-0.0068082616059072,0.0,0.2227886986728532,1.994735823926648e-11
1.0,2.287120158889364,1.6701013635142588,51.14622747520972,116.5046194746797,-0.0063646793881418,0.0,0.2147547516338748,4.092726157978177e-12
1.0,2.7911541176041315,1.8493098282654752,52.65795526601774,131.0023126000467,-0.0061275423067451,0.0,0.2022248315163466,1.378714466537536e-11
1.0,3.294703470404474,2.0350184168723224,54.00716591891623,145.70308716983848,-0.0059984190302353,0.0,0.1900357228146994,8.506961602040115e-12
1.0,3.796759026592073,2.2349915153578968,55.32578537257131,161.13115169865554,-0.0059224870546344,0.0,0.1866975909915776,4.632738637155853e-12
1.0,4.298051470956814,2.467508309612774,56.737702879043646,178.47048162934632,-0.0058733043201585,0.0,0.1974325152089556,4.106809049260745e-12
1.0,4.799883704349811,2.75520774170123,58.297602929971056,198.9170244950517,-0.0058402272208347,0.0,0.2197626573497091,6.453557077409743e-12
1.0,5.30249904178557,3.1176999339462523,59.97300524944242,223.0304433024752,-0.0058184567496746,0.0,0.2459190458243264,4.986839559816619e-12
1.0,5.805454569610864,3.567726439098809,61.67720726764369,250.5147750747934,-0.0058042902412374,0.0,0.2680813796960153,3.296918293926865e-12
1.0,6.308568160968851,4.109785754697709,63.31602243732541,280.3565485458644,-0.0057961627595705,0.0,0.2811340433770324,1.7893953714636105e-11
1.0,6.812058847237648,4.737106527718562,64.8126983067822,311.0252627286048,-0.0057988544614195,0.0,0.2821414907160068,9.093648609077364e-12
1.0,7.316191796894907,5.427059386818367,66.11401107823875,340.70579928729694,-0.0058290241148483,0.0,0.2697124356469876,2.6400915316676218e-12
1.0,7.820719453420869,6.14344642693382,67.19550153278834,367.7791517391092,-0.0059203928262845,0.0,0.2457515510464907,6.81863219857018e-13
1.0,8.324539263016801,6.858233638593382,68.0732117901446,391.6248678812942,-0.0061189536991177,0.0,0.2184591145430101,6.746900580928367e-12
1.0,8.826663349879032,7.58559519116681,68.80656042942285,413.1701416572706,-0.0064478250263491,0.0,0.2007494967155796,4.2275519631135116e-12
1.0,9.327533878711655,8.39654218083874,69.47541606683528,434.4792373922424,-0.0068606736210276,0.0,0.2027847335627381,1.2027083644263612e-11
1.0,9.82844493308503,9.40664499629095,70.1458261187133,457.7124743498374,-0.0072731491766882,0.0,0.2267795391515872,5.454905758856144e-12
1.0,10.330117642000152,10.756169632492147,70.84625868498914,484.15809019765953,-0.007635593200432,0.0,0.2672323067121817,3.520122042223496e-12
1.0,10.832272554880888,12.59553135604352,71.56445070209266,513.7323982165776,-0.0079339654502749,0.0,0.3143702938566917,2.727452879428072e-12
1.0,11.334320943348835,15.08442267188033,72.2652221202983,545.1905611845261,-0.0081669638034612,0.0,0.3591695692718372,4.4001525527793695e-12
1.0,11.835996410264746,18.40379542080096,72.91328572633081,576.7921206013159,-0.0083405652499959,0.0,0.3964601203758897,5.727651046798951e-12
1.0,12.33733400637806,22.76946658837534,73.48558791675232,606.9008864174908,-0.0084656494816339,0.0,0.424591211925455,7.040244084446992e-12
