ensemble,factor,n,p_stable,p_real_instability,p_complex_instability,alpha_q01,alpha_median,alpha_q99
sign_only,,200000,0.55918,0.440805,1.5e-05,-0.0017511850306696991,-0.0006890951189012491,0.33290705192851017
anchored,1.5,100000,1.0,0.0,0.0,-0.0011987997808216412,-0.0010216378375607859,-0.0008698758464549381
anchored,2,100000,1.0,0.0,0.0,-0.001384096026039688,-0.001021062062570409,-0.0007237762899604199
anchored,3,100000,0.99836,0.00164,0.0,-0.001506191568082601,-0.000995137745011588,-0.0002589861697832419
anchored,5,100000,0.9875,0.0125,0.0,-0.0016116682914241486,-0.0009427579703263447,4.305106740601157e-05
anchored,10,100000,0.96713,0.03279,8e-05,-0.001726747063365375,-0.0008744891846631653,0.0002970955454703293
