name,r,rM,rF,rH,MAT_total,SAM,Put,Spd,Spm,alpha,residual
original_MAT_only,0.0,0.0,0.0,0.0,480.0,65.06138248397946,98.20362967232711,79.59175253092295,61.35951148733721,-0.015875918996514093,1.2320427147782235e-11
original_MAT_only,0.05,0.05,0.0,0.0,467.0,64.43591359139869,98.46531070704494,79.47128637651304,61.216109362096745,-0.015898181852218633,1.574562702444382e-11
original_MAT_only,0.1,0.1,0.0,0.0,454.0,63.78254540561384,98.74368212172082,79.34368312376259,61.064367908270754,-0.01592185891715496,1.9454660105111543e-11
original_MAT_only,0.15000000000000002,0.15000000000000002,0.0,0.0,441.0,63.09936866319691,99.04039546729817,79.20828794862771,60.903536678010845,-0.015947088711954865,2.646061147970613e-11
original_MAT_only,0.2,0.2,0.0,0.0,428.0,62.384298690746476,99.35732663639344,79.06436381053321,60.73277291852655,-0.015974028266318864,3.907985046680551e-11
original_MAT_only,0.25,0.25,0.0,0.0,415.0,61.63505545242626,99.6966150445939,78.91107823758244,60.551127061522664,-0.016002856276158887,6.146194664324867e-11
original_MAT_only,0.30000000000000004,0.30000000000000004,0.0,0.0,402.0,60.849140962999314,100.06071126316503,78.74748750263814,60.35752541649141,-0.016033776920117482,4.108358098164899e-11
original_MAT_only,0.35000000000000003,0.35000000000000003,0.0,0.0,388.99999999999994,60.02381369232509,100.45243529450009,78.57251757503367,60.15074942608659,-0.016067024499406606,5.934452929068357e-11
original_MAT_only,0.4,0.4,0.0,0.0,376.0,59.156059539088986,100.87504835138,78.3849410630234,59.92941067014434,-0.016102869112733127,8.446932042716071e-11
original_MAT_only,0.45,0.45,0.0,0.0,363.0,58.242558902702704,101.33234190854512,78.1833491386249,59.69192058071689,-0.01614162364052904,1.2737189081235556e-10
original_MAT_only,0.5,0.5,0.0,0.0,350.0,57.27964933670078,101.82874903683351,77.96611714004015,59.43645353575547,-0.016183652398573906,2.0118307020311477e-10
original_MAT_only,0.55,0.55,0.0,0.0,337.0,56.26328323280994,102.36948474757021,77.73136215038136,59.160901608970704,-0.016229381934216518,3.171720663885935e-10
original_MAT_only,0.6000000000000001,0.6000000000000001,0.0,0.0,324.0,55.18897997583198,102.96072447691999,77.47689031714808,58.8628187336742,-0.01627931459767014,5.013589543523267e-10
original_MAT_only,0.65,0.65,0.0,0.0,311.0,54.05177205007295,103.60983323942503,77.20013095121728,58.5393513416351,-0.01633404573211325,8.171525678335456e-10
original_MAT_only,0.7000000000000001,0.7000000000000001,0.0,0.0,298.0,52.84614471081277,104.32566285148651,76.8980534510375,58.18715159864625,-0.01639428562725858,1.3364740425458876e-09
original_MAT_only,0.75,0.75,0.0,0.0,285.0,51.56596913378708,105.11894169823668,76.56706172929088,57.802268086649484,-0.016460887793968048,1.15724674287776e-09
original_MAT_only,0.8,0.8,0.0,0.0,272.0,50.2044295533766,106.00279192592717,76.20285892288813,57.38000705651765,-0.01653488569902417,2.0135644263064023e-09
original_MAT_only,0.8500000000000001,0.8500000000000001,0.0,0.0,259.0,48.75394603076273,106.9934244747442,75.8002725300708,56.91475503790258,-0.01661754091602796,1.8716832528298255e-09
original_MAT_only,0.9,0.9,0.0,0.0,246.0,47.20609658208014,108.1110858723919,75.35302645327265,56.39975045247634,-0.01671040679347568,3.4129499226764892e-09
original_MAT_only,0.9500000000000001,0.9500000000000001,0.0,0.0,233.0,45.55154622535201,109.38136676080202,74.85344137268491,55.826787747589776,-0.016815413325793536,6.418389375539846e-09
original_MAT_only,1.0,1.0,0.0,0.0,220.0,43.779997539684004,110.83703809020935,74.29203805811086,55.18583238877547,-0.016934981060734742,1.2427108231349848e-08
constant_total_MAT_only,0.0,0.0,0.0,0.0,480.0,65.06138248397946,98.20362967232711,79.59175253092295,61.35951148733721,-0.015875918996514093,1.2320427147782235e-11
constant_total_MAT_only,0.05,0.05,0.0,0.0,480.0,68.28867089266085,96.92349230354425,80.1883540867011,62.07182100618667,-0.015752105172368965,9.445187743040151e-09
constant_total_MAT_only,0.1,0.1,0.0,0.0,480.0,71.59156418522822,95.72358591065681,80.75880364538718,62.75620908140417,-0.015636561691790632,6.6944210175279295e-09
constant_total_MAT_only,0.15000000000000002,0.15000000000000002,0.0,0.0,480.0,74.95836196794039,94.60104395255775,81.30262550421757,63.41166346945719,-0.015529017489218186,7.286189429578371e-10
constant_total_MAT_only,0.2,0.2,0.0,0.0,480.0,78.37555988639453,93.5530160526123,81.8194668677456,64.03732997991435,-0.015429182155636947,4.957030341756763e-10
constant_total_MAT_only,0.25,0.25,0.0,0.0,480.0,81.82794077866795,92.57665951608664,82.30910439792072,64.63252481075152,-0.015336749323925754,3.383604507689597e-10
constant_total_MAT_only,0.30000000000000004,0.30000000000000004,0.0,0.0,480.0,85.29876945685588,91.66912469051967,82.77145309107593,65.19674945946538,-0.01525139942967668,2.2441781766247004e-10
constant_total_MAT_only,0.35000000000000003,0.35000000000000003,0.0,0.0,480.0,88.77009584098714,90.82753789485412,83.20657580352012,65.72970616813797,-0.015172801993988835,1.3108092389302328e-10
constant_total_MAT_only,0.4,0.4,0.0,0.0,480.0,92.22316027065051,90.0489854608921,83.61469158553255,66.23131159427534,-0.01510061759900159,6.0992988437647e-11
constant_total_MAT_only,0.45,0.45,0.0,0.0,480.0,95.63888352848805,89.33050178787614,83.99618113270097,66.70170652909003,-0.015034499725066144,8.527190326198684e-11
constant_total_MAT_only,0.5,0.5,0.0,0.0,480.0,98.99841383675653,88.66906342419101,84.35158803600225,67.14125991541458,-0.014974096599790583,1.8453153426748774e-08
constant_total_MAT_only,0.55,0.55,0.0,0.0,480.0,102.28369558974299,88.06159023608879,84.68161501343053,67.55056603662223,-0.014919053175836465,1.748264821799239e-08
constant_total_MAT_only,0.6000000000000001,0.6000000000000001,0.0,0.0,480.0,105.4780188748934,87.50495394768458,84.98711478637638,67.93043436494334,-0.01486901332155766,1.2625136491806188e-08
constant_total_MAT_only,0.65,0.65,0.0,0.0,480.0,108.56651142764227,86.9959935036285,85.26907581820304,68.28187228812442,-0.01482362225598377,8.694712505530333e-09
constant_total_MAT_only,0.7000000000000001,0.7000000000000001,0.0,0.0,480.0,111.53653539199617,86.53153635346894,85.52860345008365,68.60606137337379,-0.01478252922543459,5.79609604756115e-09
