tau,k,a,Y,rho,dom_real,dom_imag,npos
6.0,0,2.3,0.4506841587475154,0.0838642222014523,-0.01523929350114056,0.0,0
6.0,1,2.4,0.4573664620023649,0.0873195875760366,-0.015211750494928745,0.0,0
6.0,2,2.478759484216772,0.4631904005224319,0.0903925540060058,-0.015186906165133197,0.0,0
6.0,3,2.570437535776777,0.4707532177939157,0.094467797728289,-0.015153334707446628,0.0,0
6.0,4,2.67605291157263,0.4808406484677544,0.1000509974133077,-0.015105849213233869,0.0,0
6.0,5,2.794639023965384,0.4947334096491115,0.1080121603129154,-0.015033805065017898,0.0,0
6.0,6,2.9172127777964008,0.5140391216840735,0.1195848167034976,-0.014912541514465597,0.0,0
6.0,7,3.0157683552111982,0.5376091332967421,0.1344851785715214,-0.01467412327903147,0.0,0
6.0,8,3.079129696723476,0.564764040508668,0.1526402119531757,-0.013071935559542964,0.0,0
6.0,9,3.106251404277704,0.5939667206777327,0.173245810839482,-0.0040485175842277605,0.0,0
6.0,10,3.105148265204569,0.6240088078104132,0.1954824167402362,0.004790175476909751,0.0,1
6.0,11,3.08534205494698,0.6543660320119069,0.2188697327218521,0.011940867754197976,0.0,1
6.0,12,3.0542556974244777,0.6849129728487056,0.2431676780218256,0.017472893221344734,0.0,1
6.0,13,3.017021738645568,0.7156838053504764,0.2682439301984014,0.021544442603186303,0.0,1
6.0,14,2.977105643961941,0.746765217530688,0.2940045952627441,0.024306915470545205,0.0,1
6.0,15,2.9368658628402224,0.7782566955873078,0.3203646341360784,0.02589066692765006,0.0,1
6.0,16,2.8979350790628526,0.8102575493065834,0.3472363698643621,0.026406463497147467,0.0,1
6.0,17,2.861464884057294,0.8428638317362448,0.3745257538428859,0.02594973795066359,0.0,1
6.0,18,2.8282828028273315,0.8761687866014105,0.4021320041730467,0.024604561276434386,0.0,1
6.0,19,2.798995153444369,0.9102644737431947,0.4299487450742069,0.022446745987551166,0.0,1
6.0,20,2.774056355602071,0.9452437160866966,0.457865797973457,0.019546133843215734,0.0,1
6.0,21,2.7538171231902875,0.9812020583743508,0.4857711912778249,0.01596824326215255,0.0,1
6.0,22,2.738559080141325,1.0182396189278564,0.513553133509847,0.011775409089742169,0.0,1
6.0,23,2.728520417267978,1.0564627728287188,0.5411017829091483,0.007027368543535283,0.0,1
6.0,24,2.723915431021109,1.0959856129392316,0.5683107061313902,0.0017805770316330755,0.0,1
6.0,25,2.724949675187028,1.1369311267174813,0.5950779714884715,-0.003918561340076325,0.0,0
6.0,26,2.731831743814541,1.1794320139934418,0.6213068734889708,-0.010128694224467816,0.0,0
6.0,27,2.74478223457972,1.2236310583756065,0.6469063334221108,-0.013219588669065,0.0,0
6.0,28,2.7640401284262643,1.2696809556776292,0.6717910615304721,-0.013036421491303823,0.0,0
6.0,29,2.789866615480831,1.3177435009905558,0.6958815963751199,-0.012969832939379892,0.0,0
6.0,30,2.822546278652215,1.3679880488296836,0.7191043535376372,-0.01292357904198167,0.0,0
6.0,31,2.862385515562151,1.4205891977062317,0.7413918163141007,-0.01288749288876121,0.0,0
6.0,32,2.909708151067691,1.47572372121227,0.7626829826580005,-0.012858546084884697,0.0,0
6.0,33,2.9648483835742443,1.5335668772259945,0.7829241423072283,-0.012835322268257857,0.0,0
6.0,34,3.0281415197188606,1.5942883684369122,0.8020699944498721,-0.012816928394495927,0.0,0
6.0,35,3.099913347580997,1.6580483761794294,0.8200850331780569,-0.01280268063137333,0.0,0
6.0,36,3.1804693898914445,1.7249942013978905,0.8369450377545088,-0.01279199413584444,0.0,0
6.0,37,3.270085532395668,1.795258068054652,0.8526384294665387,-0.012784341325209076,0.0,0
6.0,38,3.369001502247352,1.8689565352432629,0.8671672236308753,-0.012779237152544592,0.0,0
6.0,39,3.477418304798532,1.946191724408819,0.8805473352152741,-0.012776235920618616,0.0,0
6.0,40,3.595500064218718,2.0270542507138805,0.892808091901344,-0.012774932776605248,0.0,0
12.0,0,2.3,0.4506841587475154,0.0838642222014523,-0.01522791476262548,0.0,0
12.0,1,2.4,0.4573664620023649,0.0873195875760366,-0.015197667651729363,0.0,0
12.0,2,2.478759484216772,0.4631904005224319,0.0903925540060058,-0.015169807566706967,0.0,0
12.0,3,2.570437535776777,0.4707532177939157,0.094467797728289,-0.01513103290439808,0.0,0
12.0,4,2.67605291157263,0.4808406484677544,0.1000509974133077,-0.01507308382910286,0.0,0
12.0,5,2.794639023965384,0.4947334096491115,0.1080121603129154,-0.014973468405357746,0.0,0
12.0,6,2.9172127777964008,0.5140391216840735,0.1195848167034976,-0.014725198001392912,0.0,0
12.0,7,3.0157683552111982,0.5376091332967421,0.1344851785715214,-0.012887099870825095,0.0,0
12.0,8,3.079129696723476,0.564764040508668,0.1526402119531757,-0.007420030383111592,0.0,0
12.0,9,3.106251404277704,0.5939667206777327,0.173245810839482,-0.0020769173192063347,0.0,0
12.0,10,3.105148265204569,0.6240088078104132,0.1954824167402362,0.0024389653866421866,0.0,1
