rho,gain_common_aa,gain_methionine_only,common_vs_met_ratio
0.0,1.3427157424665894,1.7792314496694186,0.7546605264402595
0.05,1.325957189532634,1.7559617089545254,0.7551173711652802
0.1,1.3084358866025354,1.7318689159813,0.7555051508394087
0.15,1.2899819852012877,1.706733902362184,0.7558190432708368
0.2,1.2704107507132711,1.6803189279108623,0.7560533477372481
0.25,1.2495202683793536,1.6523647488914492,0.7562012377821792
0.3,1.227088812390038,1.6225872720052863,0.7562544299226084
0.35,1.2028717829713438,1.5906736796133718,0.756202732457177
0.4,1.1765980849974746,1.556277874491326,0.7560334206910506
0.45,1.1479657789496385,1.519015041646522,0.7557303564981896
0.5,1.1166367765338685,1.4784550551075235,0.7552727238317427
0.55,1.0822302725215407,1.434114361480174,0.7546331740270367
0.6000000000000001,1.0443144918569294,1.3854458381639805,0.7537750398390709
0.65,1.002396172461565,1.33182593555093,0.7526480343295827
0.7000000000000001,0.95590697753361,1.2725381435114602,0.7511813947642201
0.75,0.904185702327186,1.206751433040861,0.7492725324955715
0.8,0.846454655165189,1.1334917509216342,0.7467673712463656
0.8500000000000001,0.7817878630543424,1.0516037870351416,0.7434243511603267
0.9,0.7090676340832812,0.95969892399603,0.7388438356592494
0.95,0.6269242587493788,0.8560832392748743,0.7323169406755361
1.0,0.5336508346558618,0.7386561897173082,0.7224617380653046
