rho,eigen_real,eigen_imag,state,participation
0.0,-0.07290333324387999,0.06734395330242599,b_gly,1.964679188031806e-05
0.0,-0.07290333324387999,0.06734395330242599,b_glu,5.975414374927382e-06
0.0,-0.07290333324387999,0.06734395330242599,b_cys,3.14703651261196e-06
0.0,-0.07290333324387999,0.06734395330242599,b_gsg,5.44570558713448e-09
0.0,-0.07290333324387999,0.06734395330242599,b_gsh,4.047552761292605e-08
0.0,-0.07290333324387999,0.06734395330242599,c_thf,0.0038538566229440845
0.0,-0.07290333324387999,0.06734395330242599,c_5mf,0.005249080064966903
0.0,-0.07290333324387999,0.06734395330242599,c_2cf,0.000281071427518701
0.0,-0.07290333324387999,0.06734395330242599,c_1cf,0.00012890047414214088
0.0,-0.07290333324387999,0.06734395330242599,c_10f,0.0010528423357106444
0.0,-0.07290333324387999,0.06734395330242599,c_dhf,2.215748338778758e-05
0.0,-0.07290333324387999,0.06734395330242599,aic,1.1582785929826454e-08
0.0,-0.07290333324387999,0.06734395330242599,c_glu,0.0003969989664712654
0.0,-0.07290333324387999,0.06734395330242599,c_cys,5.9692206870559396e-05
0.0,-0.07290333324387999,0.06734395330242599,glc,7.586031216947758e-07
0.0,-0.07290333324387999,0.06734395330242599,c_gly,8.07618017859615e-05
0.0,-0.07290333324387999,0.06734395330242599,c_gsg,1.0539971270288544e-06
0.0,-0.07290333324387999,0.06734395330242599,c_gsh,0.00011951509202394037
0.0,-0.07290333324387999,0.06734395330242599,cyt,2.1860251946554678e-05
0.0,-0.07290333324387999,0.06734395330242599,hcy,8.803079102811742e-06
0.0,-0.07290333324387999,0.06734395330242599,c_ser,5.14769458572944e-05
0.0,-0.07290333324387999,0.06734395330242599,sah,0.0005640612930031214
0.0,-0.07290333324387999,0.06734395330242599,sam,0.004008520015524339
0.0,-0.07290333324387999,0.06734395330242599,met,0.0002166595979706523
0.0,-0.07290333324387999,0.06734395330242599,c_coo,4.705920534468314e-06
0.0,-0.07290333324387999,0.06734395330242599,species_1,9.585605803953311e-06
0.0,-0.07290333324387999,0.06734395330242599,species_2,0.008362293020199297
0.0,-0.07290333324387999,0.06734395330242599,species_3,0.3609724892280663
0.0,-0.07290333324387999,0.06734395330242599,species_4,0.1457837241891972
0.0,-0.07290333324387999,0.06734395330242599,species_5,9.409454362871057e-05
0.0,-0.07290333324387999,0.06734395330242599,species_6,0.00013952272566314052
0.0,-0.07290333324387999,0.06734395330242599,species_8,0.001280365749408577
0.0,-0.07290333324387999,0.06734395330242599,species_9,0.002030372657087721
0.0,-0.07290333324387999,0.06734395330242599,m_thf,5.9265871625280255e-05
0.0,-0.07290333324387999,0.06734395330242599,m_2cf,2.7255309116264723e-06
0.0,-0.07290333324387999,0.06734395330242599,m_1cf,1.3643531877775685e-06
0.0,-0.07290333324387999,0.06734395330242599,m_10f,6.272320169777228e-05
0.0,-0.07290333324387999,0.06734395330242599,m_ser,0.00010502770404887063
0.0,-0.07290333324387999,0.06734395330242599,m_gly,3.5314972992814283e-05
0.0,-0.07290333324387999,0.06734395330242599,m_coo,4.220206180122057e-06
0.0,-0.07290333324387999,0.06734395330242599,src,1.3419261658395384e-06
0.0,-0.07290333324387999,0.06734395330242599,dmg,4.6118559025790386e-08
0.0,-0.07290333324387999,0.06734395330242599,parameter_1,0.003235201876821876
0.0,-0.07290333324387999,0.06734395330242599,parameter_2,0.43379934050804336
0.0,-0.07290333324387999,0.06734395330242599,parameter_3,0.021285498901720757
0.0,-0.07290333324387999,0.06734395330242599,parameter_4,0.006583878182193173
1.0,-0.07989148169918474,0.06659891914978142,b_gly,1.7158433846823796e-05
1.0,-0.07989148169918474,0.06659891914978142,b_glu,3.0303410992119816e-06
1.0,-0.07989148169918474,0.06659891914978142,b_cys,4.3307917041427035e-06
1.0,-0.07989148169918474,0.06659891914978142,b_gsg,6.009782043168742e-09
1.0,-0.07989148169918474,0.06659891914978142,b_gsh,2.044370815297581e-08
1.0,-0.07989148169918474,0.06659891914978142,c_thf,0.0039036120021162914
1.0,-0.07989148169918474,0.06659891914978142,c_5mf,0.005738453696854023
1.0,-0.07989148169918474,0.06659891914978142,c_2cf,0.0003142858728197429
1.0,-0.07989148169918474,0.06659891914978142,c_1cf,0.00015940135167685898
1.0,-0.07989148169918474,0.06659891914978142,c_10f,0.0014071598721021336
1.0,-0.07989148169918474,0.06659891914978142,c_dhf,2.427058766156413e-05
1.0,-0.07989148169918474,0.06659891914978142,aic,1.4770064522829116e-08
1.0,-0.07989148169918474,0.06659891914978142,c_glu,0.00020417504650381614
1.0,-0.07989148169918474,0.06659891914978142,c_cys,4.588997683708283e-05
1.0,-0.07989148169918474,0.06659891914978142,glc,7.671588043433112e-07
1.0,-0.07989148169918474,0.06659891914978142,c_gly,6.128408700518475e-05
1.0,-0.07989148169918474,0.06659891914978142,c_gsg,7.190426447329388e-07
1.0,-0.07989148169918474,0.06659891914978142,c_gsh,4.636904601317232e-05
1.0,-0.07989148169918474,0.06659891914978142,cyt,2.238653426878333e-05
1.0,-0.07989148169918474,0.06659891914978142,hcy,3.365176723578813e-06
1.0,-0.07989148169918474,0.06659891914978142,c_ser,4.1310404351089405e-05
1.0,-0.07989148169918474,0.06659891914978142,sah,0.0003201970048338747
1.0,-0.07989148169918474,0.06659891914978142,sam,0.004264414308296004
1.0,-0.07989148169918474,0.06659891914978142,met,9.156974629078242e-05
1.0,-0.07989148169918474,0.06659891914978142,c_coo,1.755784478118667e-05
1.0,-0.07989148169918474,0.06659891914978142,species_1,1.4305602711109839e-05
1.0,-0.07989148169918474,0.06659891914978142,species_2,0.011064860012544475
1.0,-0.07989148169918474,0.06659891914978142,species_3,0.35853465913931454
1.0,-0.07989148169918474,0.06659891914978142,species_4,0.14245125445159226
1.0,-0.07989148169918474,0.06659891914978142,species_5,8.782739575840868e-05
1.0,-0.07989148169918474,0.06659891914978142,species_6,9.310463499024109e-05
1.0,-0.07989148169918474,0.06659891914978142,species_8,0.0013346870120014434
1.0,-0.07989148169918474,0.06659891914978142,species_9,0.0022731725670225482
1.0,-0.07989148169918474,0.06659891914978142,m_thf,0.00018995659099321026
1.0,-0.07989148169918474,0.06659891914978142,m_2cf,8.291526373319148e-07
1.0,-0.07989148169918474,0.06659891914978142,m_1cf,6.835807725341391e-07
1.0,-0.07989148169918474,0.06659891914978142,m_10f,0.00018952570543643495
1.0,-0.07989148169918474,0.06659891914978142,m_ser,0.00010191458159151345
1.0,-0.07989148169918474,0.06659891914978142,m_gly,2.571197224504618e-05
