m,q,n,rho0,n_saddles,status,A,a_SN_on,a_SN_off,Y_SN_on,Y_SN_off,rho_SN_on,rho_SN_off,SAM_SN_on,SAM_SN_off,E_met_on,E_self_crit,E_met_off,E_self_off,bistable_width
0.680208,3,3,0.005,2,two_positive_saddles,0.17108219218694837,7.712111146842116,29.73673876424942,1.3029836074748578,0.2583258630184406,0.6886831629392317,0.016946530867692763,49.354579080246104,64.68057281719237,0.21403249502319124,0.7859675049768085,0.011802844025917626,0.9881971559740829,22.024627617407305
0.680208,3,3,0.006,2,two_positive_saddles,0.1818200913975657,7.170665417461898,24.799164816233922,1.2955097208545343,0.274913782134047,0.6849711877592071,0.020354410347245028,49.444152127405296,64.60405341709755,0.21478070188978252,0.7852192981102171,0.01414052964116994,0.9858594703588303,17.628499398772025
0.680208,3,3,0.007,2,two_positive_saddles,0.19142599095474355,6.737392823450297,21.272530942910464,1.2886614461409271,0.28983657940903423,0.6815300285097317,0.023769067888903476,49.52709971835259,64.52740102364533,0.2154511555016405,0.7845488444983589,0.016470514100626065,0.9835294858993741,14.535138119460168
0.680208,3,3,0.008,2,two_positive_saddles,0.2001589933202521,6.379268367347417,18.62773675220076,1.2822901890866956,0.30348075532739055,0.678294072226921,0.027190748385979825,49.605023171119896,64.45060992102017,0.2160562685982902,0.78394373140171,0.018793407327922847,0.9812065926720773,12.248468384853343
0.680208,3,3,0.009000000000000001,2,two_positive_saddles,0.208194678082506,6.076016228443925,16.57083703010627,1.27629836625802,0.3161081435042753,0.6752203129763822,0.030619721243713788,49.67897021703986,64.37367269195866,0.21660861148746918,0.783391388512531,0.021109276208465793,0.978890723791535,10.494820801662343
0.680208,3,3,0.01,2,two_positive_saddles,0.21565816994072615,5.8143718936245765,14.925465570940698,1.2706194068718484,0.3279053510756517,0.6722795980097271,0.034056289648478046,49.749653273287485,64.29658304058017,0.21712083088701425,0.7828791691129856,0.023417721715605123,0.9765822782843955,9.111093677316122
0.680208,3,3,0.011,2,two_positive_saddles,0.22264215276709906,5.585224738518736,13.579388957883397,1.2651995513647276,0.33901038897687885,0.6694480145231324,0.03750070581317742,49.81765602659851,64.21933488695294,0.21759752976607727,0.7824024702339228,0.025719533322617616,0.9742804666773823,7.994164219364661
0.680208,3,3,0.012,2,two_positive_saddles,0.22921741789444017,5.382071164220676,12.457784610510553,1.2599943367491546,0.34952879217646843,0.6667054429542412,0.040953274791228955,49.88346706232817,64.14192006594908,0.21803870301219502,0.7819612969878051,0.02801463631969868,0.9719853636803011,7.0757134462898765
0.680208,3,3,0.013000000000000001,2,two_positive_saddles,0.23543939990138554,5.200121165003599,11.508853059452006,1.2549778522807842,0.35954328338633307,0.6640407788456241,0.044414335252321045,49.947357955298344,64.06433164373419,0.21845441060431375,0.7815455893956863,0.030302667238318023,0.9696973327616829,6.308731894448407
0.680208,3,3,0.014000000000000002,2,two_positive_saddles,0.2413524148795464,5.035754123819439,10.695594280127606,1.250124687448628,0.3691197828027463,0.6614426741695374,0.04788414761473868,50.00960582997564,63.98656312646441,0.21884757528983786,0.7811524247101618,0.0325845339360492,0.9674154660639508,5.659840156308167
0.680208,3,3,0.015,2,two_positive_saddles,0.24699251343642548,4.886172784116096,9.990874777233959,1.2454112105369115,0.37831216883555135,0.658900271143276,0.05136306853305497,50.070474815867904,63.908605291549506,0.21921747364459077,0.7807825263554092,0.03485994986965655,0.9651400501303445,5.104701993117863
0.680208,3,3,0.016,2,two_positive_saddles,0.25238946253063416,4.7491751722943425,9.374345052630588,1.2408192676134882,0.3871649661114168,0.6564052808221219,0.054851463765761686,50.13016533101587,63.83045071657026,0.21956515212284808,0.7804348478771518,0.03712873607528568,0.9628712639247161,4.625169880336245
0.680208,3,3,0.017,2,two_positive_saddles,0.2575681594354246,4.622999892826433,8.83044329467797,1.236338008316626,0.3957152161963022,0.6539531117994942,0.05834960794071847,50.188790010010955,63.75209234010683,0.21989626393930545,0.7801037360606945,0.039391844298444,0.9606081557015554,4.2074434018515365
0.680208,3,3,0.018000000000000002,2,two_positive_saddles,0.2625496640493475,4.506217926124739,8.347065865647146,1.2319550445904888,0.40399463521644385,0.6515381334318004,0.06185793308861546,50.24648622035949,63.673519423675856,0.2202121695031458,0.7797878304968543,0.0416486904696265,0.9583513095303742,3.8408479395224067
0.680208,3,3,0.019,2,two_positive_saddles,0.26735196783949955,4.397655395399045,7.914657757816962,1.2276574843115529,0.41203021341943663,0.6491542304415668,0.0653768123187937,50.303402317899646,63.594724414668526,0.2205116583068045,0.7794883416931958,0.0438994602585923,0.956100539741408,3.5170023624179167
0.680208,3,3,0.02,2,two_positive_saddles,0.27199057679832667,4.296337238520975,7.525574534801206,1.2234341901184418,0.41984508343820837,0.6467960669401585,0.06890654712940501,50.35966640954067,63.51569939832712,0.22079379238167982,0.7792062076183203,0.04614506000332745,0.9538549399966727,3.229237296280231
0.680208,3,3,0.021,2,two_positive_saddles,0.2764789607304542,4.201445656443782,7.17362793279492,1.2192810195114547,0.4274598740531721,0.6444620791158967,0.07244767904582151,50.41531727420196,63.43643146604914,0.22106369282529842,0.7789363071747012,0.04838450551629343,0.9516154944837066,2.9721822763511385
0.680208,3,3,0.022000000000000002,2,two_positive_saddles,0.2808289034554018,4.112288623475161,6.853755175703643,1.2151907706479443,0.4348922635065661,0.6421489004297326,0.07600055374263731,50.47043686430474,63.356913567386876,0.22132208834586078,0.7786779116541394,0.050618561660042936,0.9493814383399577,2.7414665522284825
0.680208,3,3,0.023000000000000003,2,two_positive_saddles,0.2850507796096199,4.028275820740587,6.5617736010768155,1.2111566340922812,0.4421578550855673,0.6398532801914653,0.07956552138219156,50.5251041238797,63.27713646896055,0.22156920441904787,0.7784307955809517,0.052847983978467634,0.947152016021531,2.533497780336228
0.680208,3,3,0.024,2,two_positive_saddles,0.2891537766753885,3.9488999375952027,6.294197894875387,1.2071674527715077,0.44927117940964834,0.6375693712051651,0.08314327964419482,50.57945862598911,63.19708420500193,0.22180002386923772,0.7781999761307622,0.055071266438099065,0.9449287335619007,2.345297957280184
0.680208,3,3,0.025,2,two_positive_saddles,0.29314607408275006,3.873722163946,6.048100557788467,1.20322368742823,0.45624437952567326,0.6352978806179924,0.0867340905040286,50.63348394519813,63.116751254291266,0.22202095717762121,0.777979042822379,0.057290004668958144,0.9427099953310412,2.1743783938424666
0.680208,3,3,0.026000000000000002,2,two_positive_saddles,0.2970349892781876,3.802360663835984,5.8210041629092535,1.1993205957342774,0.4630887326084758,0.6330364963694821,0.09033842091853077,50.68723614633298,63.03612561220956,0.2222324196592251,0.777767580340775,0.05950448021282304,0.9404955197871802,2.0186434990732693
0.680208,3,3,0.027,2,two_positive_saddles,0.30082709787774187,3.734481270871053,5.610798660733033,1.1954538366426704,0.4698150488054784,0.6307830747501932,0.09395708604605202,50.74076714481813,62.95518929854847,0.22243477399692987,0.77756522600307,0.06171312367722411,0.938286876322778,1.8763173898619798
