tau,max_dom_stable,min_dom_unstable,worst_stable_a,worst_stable_imag,closest_unstable_a,closest_unstable_imag,max_abs_dom_imag,stable_points,unstable_points
6.0,-0.003918561340076325,0.0017805770316330755,2.724949675187028,0.0,2.723915431021109,0.0,0.0,26,15
12.0,-0.001990537318672622,0.0009056644568704946,2.724949675187028,0.0,2.723915431021109,0.0,0.00035957667797719485,26,15
24.0,-0.0010033287855992653,0.00045680272414220526,2.724949675187028,0.0,2.723915431021109,0.0,0.0006139219309087739,26,15
48.0,-0.0005037059361309234,0.000229410628005565,2.724949675187028,0.0,2.723915431021109,0.0,0.00037827557322862865,26,15
72.0,-0.00033626008454181724,0.00015316638306779834,2.724949675187028,0.0,2.723915431021109,0.0,0.0,26,15
96.0,-0.000252366426988987,0.00011495979234482831,2.724949675187028,0.0,2.723915431021109,0.0,0.0,26,15
168.0,-0.00014433550385704085,6.575383512257925e-05,2.724949675187028,0.0,2.723915431021109,0.0,0.0,26,15
336.0,-7.220987005624141e-05,3.289782187511302e-05,2.724949675187028,0.0,2.723915431021109,0.0,0.0,26,15
720.0,-3.370842720227126e-05,1.535750758718126e-05,2.724949675187028,0.0,2.723915431021109,0.0,0.0,26,15
1440.0,-1.6856516323949195e-05,7.679818647085243e-06,2.724949675187028,0.0,2.723915431021109,0.0,0.0,26,15
