rho,SAM_uM,Putrescine_uM,Spermidine_uM,Spermine_uM,dcSAM_uM,Vmax_ODC,Vmax_SSAT,Vmax_SAMDC,Antz,spectral_abscissa_per_h,polyamine_pair_real_per_h,polyamine_pair_imag_per_h,antz_mode_real_per_h,theta_ODCsyn_SAM,theta_SAMDCsyn_SAM,residual_scaled_max
0.0,65.06138248404055,98.20362967230186,79.5917525309346,61.35951148735108,0.01117863863876238,72.25571789957218,42.28537920548569,21.134013992390727,0.5849783133222697,-0.01587591899650386,-0.07290333324386003,0.06734395330242578,-0.019665604272239998,0.0,0.0,1.1440396637085448e-11
0.01,64.83660809817798,98.2984888504041,79.5499328712504,61.30893812033724,0.01116340351295275,72.32495258790138,42.25766129747629,21.148507265085772,0.5848191117548971,-0.015800593627663586,-0.0729929921855604,0.06737508128441776,-0.019666100551749048,-0.010034108873003187,-0.010034108873003187,8.507207078273544e-12
0.02,64.61201038029172,98.39661149662892,79.51053366648995,61.25969728848486,0.011148581402270291,72.39663647449609,42.231069286492435,21.16393541771365,0.5846662620899322,-0.01572640644471185,-0.07308238789464923,0.06740572720257111,-0.019666610314454627,-0.02013587843888475,-0.02013587843888475,1.9094202301422453e-12
0.03,64.38757635778849,98.49803980957817,79.47356979294419,61.2117954041856,0.011134173563495699,72.4708010566812,42.205609559138935,21.180309622143405,0.5845198152447014,-0.01565334748620687,-0.07317151740637769,0.06743588743034878,-0.019667133748104044,-0.030303807046074265,-0.03030380704607427,9.274811547500029e-12
0.04,64.16329315744272,98.602816601281,79.43905629077035,61.16523892725404,0.01112018128441102,72.54747829879797,42.181288565407314,21.197641228316815,0.5843798220252691,-0.015581406821485635,-0.07326037771455735,0.06746555816584474,-0.019667671025792987,-0.040536355023751046,-0.04053635502375105,8.507920623708093e-12
0.05,63.93914800161318,98.71098530911658,79.40700836293111,61.120034362942334,0.011106605883541665,72.62670064136427,42.158112817762046,21.21594176772032,0.5842463331078781,-0.015510574556178311,-0.07334896577205374,0.06749473542858181,-0.01966822230733281,-0.050831944860589263,-0.05083194486058925,8.80153535719762e-12
0.06,63.7151282044501,98.82259000815642,79.3774413741716,61.07618825995368,0.011093448709904849,72.70850101055719,42.136088890237566,21.23522295697529,0.5841193990202593,-0.015440840837437443,-0.07343727849120235,0.06752341505631942,-0.019668787740399343,-0.06118896141878963,-0.061188961418789635,5.456606244565563e-13
0.07,63.491221168090924,98.93767542394755,79.35037085003903,61.033707208456455,0.011080711142765012,72.79291282803443,42.11522341754863,21.255496701552207,0.5839990701228314,-0.015372195859492599,-0.0735253127442072,0.06755159270191322,-0.019669367461539574,-0.07160575218398905,-0.07160575218398904,3.296918293926865e-12
0.08,63.267414378838915,99.05628694576063,79.3258124759511,60.99259783810193,0.011068394591396745,72.87997002111122,42.095523094215906,21.276775099614927,0.583885396589808,-0.015304629869068342,-0.07361306536381287,0.0675792638299975,-0.019669961597037072,-0.08208062755159673,-0.08208062755159672,3.547144649938694e-12
0.09,63.04369540331788,99.17847064032591,79.3037820963159,60.9528668160467,0.011056500494855397,72.96970703331283,42.0769946737088,21.299070446001483,0.5837784283902313,-0.015238133170756249,-0.07370053314323417,0.06760642371390198,-0.01967057026364835,-0.09261186115006434,-0.09261186115006433,3.520979415899047e-12
0.1,62.8200518846034,99.30427326608226,79.28429571371129,60.91452084498386,0.01104503032175635,73.06215883531873,42.05964496760856,21.322395236348008,0.5836782152689586,-0.015172696132217282,-0.07378771283682747,0.06763306743238477,-0.019671193569250258,-0.10319769020154011,-0.10319769020154011,2.347377857557157e-12
0.11,62.596471538318994,99.43374228796796,79.26736948812749,60.877566661183316,0.011033985570063042,73.1573609363228,42.04348084479322,21.34676217136312,0.583584806727614,-0.015108309189627063,-0.07387460116026422,0.06765918986646026,-0.019671831613405293,-0.1138363159203186,-0.1138363159203186,3.547653923008062e-12
0.12,62.37294214869574,99.56692589277876,79.25301973628017,60.842011032545805,0.01102336776688458,73.25534939582774,42.02850923064777,21.372184161260243,0.5834982520055385,-0.015044962852646481,-0.07396119479071865,0.06768478569627928,-0.019672484487838652,-0.12452590394943623,-0.12452590394943626,3.227800386649154e-12
0.13,62.14945156459079,99.70387300512496,79.2412629310002,60.80786075667282,0.011013178468283594,73.35616083589765,42.01473710630189,21.398674330355476,0.5834186000607542,-0.014982647709783782,-0.07404749036703434,0.06770984939791667,-0.019673152276871546,-0.13526458483570644,-0.13526458483570644,3.22787612800683e-12
0.14,61.9259876954557,99.84463330401853,79.23211570070669,60.77512265895468,0.011003419259094833,73.45983245389264,42.00217150789841,21.426246021839876,0.5833458995509727,-0.014921354432976373,-0.07413348448995835,0.06773437524032862,-0.019673835057779372,-0.1460504545434391,-0.1460504545434391,7.629700988461377e-12
0.15,61.70253850725239,99.98925724012207,79.22559482897051,60.74380359068109,0.01099409175275533,73.56640203570996,41.99081952589547,21.454912802734487,0.583280198814672,-0.014861073782945516,-0.07421917372211748,0.0677583572821584,-0.019674532901129173,-0.1568815750070167,-0.15688157500701666,7.629873150893361e-12
0.16,61.47909201830926,100.13779605369555,79.2217172541764,60.71391042717636,0.01098519759114689,73.67590796955852,41.98068830440582,21.48468846903768,0.5832215458522679,-0.014801796613669541,-0.07430455458808063,0.06778178936875809,-0.019675245871053067,-0.1677559747224459,-0.16775597472244594,1.6484591469634324e-12
0.17,61.255636295111486,100.2903017932781,79.22050006929054,60.68545006596321,0.010976738444451486,73.78838926029499,41.97178504057613,21.515587051074384,0.583169988307409,-0.014743513877232705,-0.07438962357435774,0.06780466512916192,-0.019675974025499338,-0.17867164937793367,-0.17867164937793364,4.64049399360178e-12
0.18,61.0321594480196,100.4468273351416,79.22196052174371,60.65842942495913,0.010968716011020792,73.90388554434993,41.96411698401085,21.547622819057892,0.5831255734484247,-0.014686216628341747,-0.07447437712907853,0.06782697797304776,-0.019676717416446943,-0.18962656252347126,-0.18962656252347126,8.510796207530695e-12
0.19,60.808649626910636,100.60742640355889,79.22611601343692,60.632855440707885,0.010961132017260285,74.02243710527546,41.95769143624343,21.580810288874556,0.5830883481499561,-0.014629896028904214,-0.07455881166219488,0.06784872108785354,-0.019677476090109586,-0.2006186462793385,-0.2006186462793385,1.1739272946646626e-11
0.2,60.58509501673344,100.77215359192884,79.23298410088063,60.608735066651064,0.010953988217529227,74.14408488994849,41.952515750259515,21.615164228103602,0.5830583588748,-0.014574543352348871,-0.07464292354491524,0.06786988743586622,-0.01967825008709374,-0.21164580208337336,-0.21164580208337336,6.456731234315915e-12
0.21,60.36148383297349,100.94106438480297,79.2425824954763,60.58607527144373,0.010947286394057247,74.26887052546064,41.94859733007599,21.65069966228353,0.583035651656,-0.01452014998792698,-0.07472670910963757,0.06789046975141307,-0.01967903944255545,-0.222705901476773,-0.22270590147677308,2.9349361027063966e-12
0.22,60.13780431701859,101.11421518086345,79.25492906395105,60.56488303731755,0.010941028356878777,74.39683633673586,41.94594363038058,21.68743188143841,0.5830202720792181,-0.014466707444819933,-0.07481016464926141,0.06791046053806041,-0.0196798441863266,-0.2337967869281245,-0.23379678692812453,4.6959888667914476e-12
0.23,59.91404473141896,101.2916633169012,79.27004182895583,60.545165358496995,0.010935215943786164,74.52802536490982,41.94456215623584,21.725376446877362,0.5830122652654197,-0.014414207356460885,-0.07489328641711956,0.06792985206594936,-0.019680664343046893,-0.24491627269527946,-0.24491627269527944,4.402572973637082e-12
0.24,59.69019335503355,101.47346709284874,79.28793896983962,60.526929239671865,0.010929851020302962,74.66248138651495,41.94446046285343,21.764549198281664,0.5830116758539083,-0.014362641484300763,-0.074976070626105,0.06794863636909301,-0.019681499932259965,-0.2560621457246185,-0.2560621457246185,2.641592630551781e-12
0.25,59.46623847805593,101.65968579792333,79.30863882361034,60.510181694532704,0.01092493547967832,74.80024893351197,41.9456461554429,21.804966261094403,0.5830185479857504,-0.014312001721644858,-0.07505851344830455,0.06796680524287256,-0.01968235096850966,-0.26723216658716203,-0.267232166587162,2.730592163136247e-12
0.26,59.242168396909676,101.8503797379412,79.33215988609571,60.494929744372406,0.010920471242903886,74.94137331421429,41.948126889140426,21.846644054228975,0.5830329252876201,-0.014262280097712854,-0.07514061101407832,0.06798435024149893,-0.01968321746143279,-0.2784240704509142,-0.2784240704509142,4.109290445854065e-12
0.27,59.01797140900705,102.04561026386396,79.35852081331771,60.481180416759976,0.010916460258754564,75.08590063515265,41.95191036902331,21.889599298112934,0.5830548508561131,-0.014213468781158036,-0.07522235941149533,0.06800126267560673,-0.019684099415834225,-0.28963556808873764,-0.2896355680887376,1.6342482922482304e-12
0.28,58.7936358073606,102.24543980164603,79.38774042309362,60.4689407442923,0.01091290450385452,75.23387782393051,41.95700435021578,21.93384902308534,0.5830843672425612,-0.014165560083734255,-0.07530375468529873,0.06801753360992431,-0.01968499683176075,-0.30086434692098035,-0.30086434692098035,4.696490623562731e-12
0.29,58.569149875039,102.44993188345056,79.4198376968793,60.458217763428564,0.010909805982769904,75.385352653124,41.96341663809235,21.97941057816638,0.5831215164383939,-0.014118546463941506,-0.07538479283593155,0.06803315386102986,-0.01968590970456538,-0.3121080720919944,-0.3121080720919944,1.1741416851771466e-12
0.3,58.34450187945816,102.65915118031118,79.45483178186876,60.44901851341396,0.010907166728129912,75.54037376528242,41.971155088584815,22.02630164021919,0.5831663398610892,-0.014072420530360789,-0.07546546981865432,0.06804811399518378,-0.019686838024974958,-0.3233643875795984,-0.3233643875795984,1.365547156528184e-12
0.31,58.11968006649741,102.87316353631509,79.49274199336762,60.441350035298434,0.0109049888007778,75.69899069908944,41.980227608599776,22.074540223525087,0.5832188783407547,-0.014027175045114805,-0.07554578154224964,0.06806240432624547,-0.01968778177914821,-0.3346309173364582,-0.3346309173364582,3.522534377407375e-12
0.32,57.89467265442992,103.09203600439363,79.53358781745608,60.43521937105634,0.010903274289953567,75.86125391674835,41.99064215655371,22.124144689794583,0.5832791721073858,-0.013982802927239914,-0.07562572386778446,0.06807601491373279,-0.019688740948729574,-0.3459052664622817,-0.3459052664622817,5.87097767469472e-12
