rho,alpha,max_abs_theta_net,max_abs_theta_directional,jacobian_mismatch_directional
0.0,-0.015875918996514093,420.16324461751947,1.9999999999999998,7.275957614183426e-12
0.1,-0.015172696132214118,8949.179777530937,2.0,1.4551915228366852e-11
0.2,-0.014574543352336638,468.92212226031705,2.0,7.275957614183426e-12
0.30000000000000004,-0.01407242053033266,230.5679032424702,1.9999999999999998,7.275957614183426e-12
0.4,-0.0136584718120085,154.29070018673602,1.9999999999999998,7.275957614183426e-12
0.5,-0.013326400162048096,117.1279005511592,2.0,3.637978807091713e-12
0.6000000000000001,-0.013071784605898473,102.51172976716752,2.0000000000000004,1.4551915228366852e-11
0.7000000000000001,-0.01289239584287994,97.61520161688462,2.0,7.275957614183426e-12
0.8,-0.012788589588011342,92.7039125816099,2.0,1.4551915228366852e-11
0.9,-0.012763903808732933,87.76247357372586,2.0000000000000004,7.275957614183426e-12
1.0,-0.012826097978373491,82.76521689809472,2.0000000000000004,7.275957614183426e-12
