name,r,rM,rF,rH,MAT_total,SAM,Put,Spd,Spm,alpha,residual
constant_total_full,0.0,0.0,0.0,0.0,480.0,65.06138248397946,98.20362967232711,79.59175253092295,61.35951148733721,-0.015875918996514093,1.2320427147782235e-11
constant_total_full,0.05,0.05,0.05,0.05,480.0,67.78131662832106,97.0393742553219,80.02171484765906,61.91843130630952,-0.01536722153835845,2.8754115533047298e-08
constant_total_full,0.1,0.1,0.1,0.1,480.0,70.58683817071554,95.77609042292117,80.29202184254028,62.377674932696735,-0.014899076067760466,1.725636877836223e-08
constant_total_full,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,480.0,73.46611005679868,94.43028792506088,80.40788374091129,62.73856161946433,-0.014470660035490798,2.0538948319881456e-09
constant_total_full,0.2,0.2,0.2,0.2,480.0,76.40474743091788,93.01696600753361,80.37485002116809,63.00260233805882,-0.014080687959469936,7.066773832775652e-10
constant_total_full,0.25,0.25,0.25,0.25,480.0,79.38585608134488,91.54968227740585,80.19888227658103,63.171584583993145,-0.01372748651569864,3.63286289939424e-10
constant_total_full,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,480.0,82.39021232962664,90.04060340371858,79.88639439285078,63.24763820819741,-0.013409082396953799,1.7113421790782013e-10
constant_total_full,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,480.0,85.39660552929647,88.50054160954127,79.44425854555116,63.23328021693063,-0.013123294057774171,1.3674394949703128e-10
constant_total_full,0.4,0.4,0.4,0.4,480.0,88.38235492536204,86.9389798301662,78.8797756877916,63.131436268278215,-0.012867820057057987,1.3778844731859863e-10
constant_total_full,0.45,0.45,0.45,0.45,480.0,91.3239967746022,85.36408790071222,78.2006097503138,62.945436626326455,-0.012640318567659629,1.332907118012372e-10
constant_total_full,0.5,0.5,0.5,0.5,480.0,94.19811650345008,83.78273247311847,77.41468598934622,62.67898477276674,-0.012438474635893313,1.2570211538331932e-10
constant_total_full,0.55,0.55,0.55,0.55,480.0,96.98227601079881,82.20048445489293,76.53005596159468,62.33609788688403,-0.01226005367605243,1.1668532806652365e-10
constant_total_full,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,480.0,99.65596242525334,80.62162920592039,75.55473449592562,61.92102013031425,-0.012102941238711314,1.0718537168941111e-10
constant_total_full,0.65,0.65,0.65,0.65,480.0,102.20146812913026,79.04918579410244,74.49651740778127,61.438112058433575,-0.011965170170890087,9.78985781330266e-11
constant_total_full,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.7000000000000001,480.0,104.60460933311202,77.48494147623309,73.36279177126379,60.891722152480064,-0.011844936885182459,8.907363735488616e-11
constant_total_full,0.75,0.75,0.75,0.75,480.0,106.85520592741594,75.92950571066022,72.16035228312069,60.286048749826016,-0.011740608659784442,8.099476644929382e-11
constant_total_full,0.8,0.8,0.8,0.8,480.0,108.94727748536087,74.38238451632449,70.8952367444604,59.6250017754424,-0.011650723844371026,7.361933285210398e-11
constant_total_full,0.8500000000000001,0.8500000000000001,0.8500000000000001,0.8500000000000001,480.0,110.87895209071796,72.8420716340947,69.57259067373988,58.9120731084203,-0.011573986668564528,6.684075515295262e-11
constant_total_full,0.9,0.9,0.9,0.9,480.0,112.65212554441129,71.30614885720267,68.19656606541056,58.15022210626155,-0.011509258142340896,1.9144579255225835e-09
constant_total_full,0.9500000000000001,0.9500000000000001,0.9500000000000001,0.9500000000000001,480.0,114.27193854815994,69.77138508634204,66.77025346701855,57.3417792401194,-0.011455544336953064,1.7475230151831056e-09
constant_total_full,1.0,1.0,1.0,1.0,480.0,115.74615306889187,68.23382257196262,65.29564102157815,56.48836670320608,-0.011411983147545865,1.5660930330341216e-09
