a,Y,rho,SAM,Put,Spd,Spm,dom_real,dom_imag,near0_real,near0_imag,resnorm,s,tb,ds,nfev,stability
2.3,0.4506841587475154,0.0838642222014523,63.18095466389209,99.1030754127683,79.31699888063649,60.9770811186322,-0.0069254436408912,0.0,-0.0069254436408912,0.0,1.9067327728710603e-11,0.0,,,6,stable
2.4,0.4573664620023649,0.0873195875760366,63.103653402242216,99.14536731406744,79.30943825307637,60.96338077695318,-0.0064807633137022,0.0,-0.0064807633137022,0.0,2.103206497849897e-12,0.0453519277852319,0.9384301064409168,0.0453519277852319,5,stable
2.4787594842167717,0.4631904005224319,0.0903925540060058,63.03491484490835,99.18334052210986,79.30296907281111,60.95133536748581,-0.0061067447322555,0.0,-0.0061067447322555,0.0,2.8990143619012088e-12,0.0803593347049802,0.9137746611384407,0.035,4,stable
2.570437535776777,0.4707532177939157,0.094467797728289,62.94376741130964,99.23422665526525,79.29476061839148,60.93556304120053,-0.0056392133627932,0.0,-0.0056392133627932,0.0,3.2729434553136866e-12,0.1206255332276364,0.8884820067264169,0.04025,4,stable
2.67605291157263,0.4808406484677544,0.1000509974133077,62.81891153276205,99.3049241828276,79.28420288575153,60.914328851675386,-0.0050462599824112,0.0,-0.0050462599824112,0.0,5.866870070372493e-12,0.1669512993733069,0.8466820128676416,0.0462874999999999,4,stable
2.794639023965384,0.4947334096491115,0.1080121603129154,62.640911281139495,99.4077116570773,79.2705294958069,60.88480140311692,-0.0042839575682836,0.0,-0.0042839575682836,0.0,3.813465545742121e-12,0.2202801377899732,0.7727570956281842,0.0532306249999999,4,stable
2.9172127777964008,0.5140391216840735,0.1195848167034976,62.38222185966896,99.561321788932,79.2535640357365,60.84345932720159,-0.003321927541932,0.0,-0.003321927541932,0.0,2.933435035186247e-13,0.2805286779910197,0.6401216846471117,0.06,4,stable
3.0157683552111982,0.5376091332967421,0.1344851785715214,62.04922144470196,99.76653192313611,79.23683649757011,60.79300207583574,-0.0022875060825249,0.0,-0.0022875060825249,0.0,2.671640686457977e-12,0.3409153439979209,0.449869907311906,0.06,4,stable
3.079129696723476,0.564764040508668,0.1526402119531757,61.64354412517365,100.02809216135472,79.22431355525018,60.735772343298684,-0.0012673444564427,0.0,-0.0012673444564427,0.0,3.0127011996228248e-12,0.4013296907321239,0.2384321379639904,0.06,4,stable
3.106251404277704,0.5939667206777327,0.173245810839482,61.1831028275385,100.3406638136004,79.22067975863466,60.67652152801751,-0.0003526950050142,0.0,-0.0003526950050142,0.0,1.2320427147782235e-11,0.4616165302631518,0.0605507391895807,0.06,4,stable
3.105148265204569,0.6240088078104132,0.1954824167402362,60.686093973444,100.69722197665804,79.22954433884652,60.61945119160551,0.0004134598856358,0.0,0.0004134598856358,0.0,1.5547205686487106e-11,0.5217655043792779,-0.0637580782390049,0.06,4,unstable
3.08534205494698,0.6543660320119069,0.2188697327218521,60.163089876163184,101.09443017986897,79.25339525031966,60.56720454302751,0.0010282624718732,0.0,0.0010282624718732,0.0,5.182160470913337e-12,0.5818351334832418,-0.1428680840130052,0.06,4,unstable
3.0542556974244777,0.6849129728487056,0.2431676780218256,59.61926341687603,101.53197458640447,79.29419185179223,60.52146274024889,0.0015037046644829,0.0,0.0015037046644829,0.0,1.7013923204080228e-11,0.6418679668391589,-0.1901053317219041,0.06,4,unstable
3.017021738645568,0.7156838053504764,0.2682439301984014,59.057351666283566,102.01099530811246,79.35368526182167,60.483485818429706,0.0018540964513184,0.0,0.0018540964513184,0.0,1.0091575653883867e-11,0.7018849410985025,-0.2156319230166015,0.06,4,unstable
2.977105643961941,0.746765217530688,0.2940045952627441,58.479207558264,102.53314459824266,79.43350258278943,60.45435052400818,0.0020923523535754,0.0,0.0020923523535754,0.0,1.7053025658242404e-12,0.7618954343407227,-0.2261289626544344,0.06,4,unstable
2.9368658628402224,0.7782566955873078,0.3203646341360784,57.88646445742109,103.10010955303756,79.53513292006869,60.4350249757302,0.0022294283926812,0.0,0.0022294283926812,0.0,1.363726439714036e-12,0.821903604227691,-0.2258874599987654,0.06,4,unstable
2.8979350790628526,0.8102575493065834,0.3472363698643621,57.28079850435997,103.7133601538328,79.65988084723284,60.42637601987064,0.0022746054114683,0.0,0.0022746054114683,0.0,4.760636329592671e-12,0.881911300849753,-0.2177108101114602,0.06,4,unstable
2.861464884057294,0.8428638317362448,0.3745257538428859,56.66401925499333,104.3740003553927,79.80881269781293,60.42915173928345,0.002235902574128,0.0,0.002235902574128,0.0,6.160213573891118e-12,0.9419193314061056,-0.2034877170553792,0.06,4,unstable
2.8282828028273315,0.8761687866014105,0.4021320041730467,56.03808628183977,105.08266976377227,79.982706013953,60.44395690312557,0.0021204337053881,0.0,0.0021204337053881,0.0,1.363726439714036e-12,1.0019280164018054,-0.1845350964588619,0.06,4,unstable
