rho_program,s,eta,SAM,met,alpha_real,alpha_imag,tlogeta,resid
0.0,0.0,1.0,65.06138248397946,50.60069244747123,-0.0158759189965131,0.0,,1.2320427147782235e-11
0.0,0.0489051309959106,1.01,65.93975138617735,50.85043149254573,-0.0155639686418027,0.0,0.2034618996113132,2.415845301584341e-12
0.0,0.2489489858638787,1.0516217474306604,69.7040657800427,51.85614273111537,-0.0143557150932091,0.0,0.2018715504112149,1.929413301126324e-10
0.0,0.509144108811228,1.107397084240533,75.05718592418825,53.10567814209524,-0.0129804269761162,0.0,0.198615553799039,5.182160470913337e-12
0.0,0.8475762593747396,1.1824435125644503,82.94740606838945,54.56519538523891,-0.0115707711759791,0.0,0.1937486678102324,1.320045765833811e-11
0.0,1.288068011518955,1.2833826985392247,95.27045049852084,55.98562218611634,-0.0103492339691235,0.0,0.1859654673346128,9.973679119633238e-12
0.0,1.790830742697364,1.3997686924650898,113.36401022950749,56.47573377573326,-0.0095883669833074,0.0,0.1726613223969683,7.333587587965616e-12
0.0,2.2960842443291565,1.5109957861733077,137.86174560153498,55.09568732520122,-0.0092261528905448,0.0,0.1513337185586709,8.21361809852149e-12
0.0,2.803122226164519,1.6091877113025943,171.19687113839402,51.500528082504346,-0.0090664460739424,0.0,0.1241733997731371,3.410605131648481e-12
0.0,3.308778879187312,1.6934777285250449,215.09705793554787,46.37599679670084,-0.0089880159642228,0.0,0.1009671625876797,1.6133892693524357e-11
0.0,3.811978319746472,1.772140834932672,270.7352858085313,41.03995448759502,-0.0089255905461456,0.0,0.0902307937572993,4.693496056297995e-12
0.0,4.31494576734113,1.853288143916261,339.5759246502915,36.443278113730784,-0.0088605043585799,0.0,0.0890179071321214,5.727651046798951e-12
0.0,4.818430352380368,1.93867125355408,423.1199269861604,32.928457564182,-0.0087927528034298,0.0,0.0894593049750505,4.789058039023075e-12
0.0,5.322019662124757,2.0250505625426296,522.8946304813231,30.431421970840805,-0.0087261150744126,0.0,0.0865623058288829,2.727452879428072e-12
0.0,5.825691581283179,2.10734702928092,640.4969755326684,28.730867372342868,-0.0086647957088898,0.0,0.0790894893472786,1.7893953714636105e-11
0.0,6.329662954022701,2.1805969925820605,776.7887042013115,27.59994858541486,-0.0086123289121908,0.0,0.0677992177315439,9.680335616114616e-12
0.0,6.83367221777236,2.241283531020362,930.790829949564,26.85531877464552,-0.0085711669233975,0.0,0.0544633195005837,6.000396334741758e-12
0.0,7.337074943640975,2.288383893292887,1099.753834835302,26.36151900000574,-0.0085434452026691,0.0,0.0413131221235182,5.5706550483591855e-12
0.0,7.839516388429381,2.323229036665628,1280.4325197229025,26.025961197005177,-0.0085482939661728,0.0,0.0300775330508542,9.546085077998252e-12
0.0,8.341094293534763,2.348312615839648,1470.1004157751145,25.790195693531256,-0.0070323106829128,0.0,0.0214104133927722,1.172804738154071e-11
0.0,8.84207525953377,2.366194810856439,1666.7560075415552,25.61907383135452,-0.0048928707152848,0.0,0.0151424223465731,9.38699211259599e-12
0.0,9.342689058717106,2.3789909811873984,1868.9631848784009,25.491540080333863,-0.0034650140152364,0.0,0.0107734555175872,1.7337242752546445e-12
0.0,9.843084842052832,2.388274716636769,2075.6692449808183,25.39458821773435,-0.0025089996558926,0.0,0.0077834170617706,1.261377065130086e-11
0.0,10.343349924529974,2.395153044111885,2286.079355996619,25.319797286040213,-0.0018657483828138,0.0,0.0057487541080228,9.273339790055444e-12
0.0,10.843534142090494,2.400381333330386,2499.577828191488,25.26144918199777,-0.001428260730179,0.0,0.004359360439909,7.364122774455795e-12
0.0,11.34366634035206,2.4044669294574743,2715.678204617753,25.21550595230869,-0.0011258694232297,0.0,0.0034003297970844,6.746900580928367e-12
0.0,11.843763775996711,2.4077485442634163,2933.9902590320416,25.179033989839272,-0.0009124659076052,0.0,0.0027272061814641,1.3910009685083167e-11
0.0,12.343837189045397,2.410452588721357,3154.197165306088,25.14986068703679,-0.000758151245202,0.0,0.0022445287784027,2.8421709430404007e-12
0.0,12.843893527258018,2.412731500069512,3376.0390956159986,25.12635622952852,-0.0006435639540961,0.0,0.0018897514381543,5.866870070372493e-12
0.0,13.34393744203026,2.414689186125991,3599.301096160222,25.107286869181703,-0.0005561315943415,0.0,0.0016219959796024,9.38699211259599e-12
0.0,13.843972139225937,2.4163976767065303,3823.8039353624176,25.091712020650785,-0.0004876368694842,0.0,0.001414482619606,2.387423592153937e-12
0.0,14.343999882720828,2.417907938349137,4049.397087109769,25.07891007471316,-0.0004326545315355,0.0,0.0012495510352601,4.4001525527793695e-12
0.0,14.844022304207549,2.419256879765738,4275.9532629483965,25.06832402368454,-0.0003875539195875,0.0,0.0011154310547234,1.475343864795677e-09
0.0,15.34404060003601,2.420471896901305,4503.364234217346,25.059521223223424,-0.0003498642726396,0.0,0.0010041659434192,1.0697304429380048e-09
0.0,15.844055661332405,2.421573835267239,4731.5373134272295,25.052163454488607,-0.0003178709389958,0.0,0.000910280698421,7.84067498022541e-10
0.0,16.344068160221195,2.42257893871675,4960.39276243676,25.045984550207034,-0.0002903577758173,0.0,0.0008299311653484,5.806883317882941e-10
0.0,16.84407861000574,2.423500145372325,5189.861606342432,25.040773623597914,-0.0002664420417749,0.0,0.0007603568974152,4.3437564240562725e-10
0.0,17.34408740691642,2.4243479626518605,5419.883887388227,25.03636244785196,-0.0002454677704722,0.0,0.0006995288245039,3.28040132546695e-10
0.0,17.84409485985488,2.425131068489784,5650.407244604707,25.0326159200769,-0.0002269362348187,0.0,0.0006459202458628,2.499933839605655e-10
0.0,18.344101211845413,2.425856732699573,5881.385751316735,25.029424821849457,-0.000210460035422,0.0,0.0005983564801513,1.9217625894910768e-10
0.0,18.84410665570361,2.4265311186693386,6112.778958148821,25.0267002943656,-0.0001957323393832,0.0,0.0005559148628023,1.489279062515966e-10
0.0,19.344111345614223,2.427159504205335,6344.551100809594,25.02436959804755,-0.0001825059114317,0.0,0.0005178571888837,1.1633324808004883e-10
0.0,19.844115405777263,2.4277464467753926,6576.670440789445,25.02237283835541,-0.0001705785546997,0.0,0.0004835832559622,9.153086874245548e-11
0.0,20.344118936928005,2.4282959097663035,6809.108713878649,25.02066042187827,-0.0001597827894583,0.0,0.000452598286808,7.253568262336149e-11
0.0,20.844122021298464,2.428811360835486,7041.840666628902,25.01919106730973,-0.0001499783907702,0.0,0.0004244896089265,5.784983674319551e-11
0.0,21.34412472642485,2.4292958498643507,7274.843664922189,25.017930240435355,-0.0001410468724268,0.0,0.0003989096067784,4.6445494057355e-11
0.0,21.844127108092565,2.4297520716905137,7508.097361961168,25.016848915051032,-0.0001328873341314,0.0,0.0003755630006057,3.751519129294456e-11
0.0,22.34412921263106,2.4301824172578765,7741.583415463868,25.01592258594311,-0.0001254132744225,0.0,0.0003541971671562,3.0477003959050233e-11
0.0,22.84413107871463,2.430589015793544,7975.285245792423,25.015130477997342,-0.0001185501015374,0.0,0.0003345946417993,2.4888462842166432e-11
0.0,23.3441327387848,2.4309737699197704,8209.187828287028,25.01445490884295,-0.0001122331651436,0.0,0.0003165672163915,2.0434502315555712e-11
0.0,23.84413422018096,2.4313383851238406,8443.27751430562,25.013880772408683,-0.0001064061734447,0.0,0.0002999512271949,1.854667958011089e-11
0.0,24.34413554604429,2.431684394666394,8677.541876452711,25.01339511825443,-0.0001010199113675,0.0,0.000284603746505,1.3983404482849735e-11
0.0,24.844136736044693,2.4320131807625147,8911.969574272078,25.01298680719737,-9.603118766176388e-05,0.0,0.0002703994720174,1.1647098168736576e-11
0.0,25.34413780696832,2.4323259926895333,9146.550237317606,25.01264622804534,-9.14019660803255e-05,0.0,0.0002572281630058,9.73948770739731e-12
0.0,25.84413877319508,2.432623962340884,9381.274363035456,25.012365063530822,-8.709864186078395e-05,0.0,0.0002449925106453,8.17448959425887e-12
0.0,26.344139647088447,2.432908117643197,9616.133227314072,25.01213609605782,-8.309143581299503e-05,0.0,0.0002336063569803,6.89873205648595e-12
0.0,26.844140439315275,2.4331793941751334,9851.118805905446,25.011953045821016,-7.9353882393159e-05,0.0,0.0002229931966773,5.838183280145709e-12
0.0,27.34414115910932,2.4334386452648773,10086.22370520569,25.01181043536806,-7.586239844532726e-05,0.0,0.0002130849100333,4.96013153350038e-12
0.0,27.84414181448929,2.4336866507946646,10321.441101118657,25.01170347585793,-7.259591527023165e-05,0.0,0.0002038206866195,7.909613350341409e-12
0.0,28.344142412440075,2.4339241249017243,10556.764684921029,25.01162797119511,-6.953556327837139e-05,0.0,0.0001951461069469,3.813465545742121e-12
0.0,28.844142959063863,2.43415172273371,10792.18861520968,25.01158023695166,-6.666440460839864e-05,0.0,0.0001870123559738,1.1182556805655096e-11
0.0,29.34414345970677,2.434370046391156,11027.707475147416,25.01155703157029,-6.396720036357014e-05,0.0,0.0001793755471094,6.544098596350523e-12
0.0,29.844143919065147,2.434579650168597,11263.316234336497,25.01155549780408,-6.143021092190983e-05,0.0,0.0001721961392637,1.8480640721673355e-11
0.0,30.344144341275324,2.4347810451888057,11499.010214744774,25.01157311271907,-5.90410222329667e-05,0.0,0.0001654384325675,2.3467480281489974e-12
0.0,30.844144729989512,2.434974703510308,11734.785060189532,25.01160764488431,-5.6788397544125487e-05,0.0,0.0001590701308588,1.9067327728710603e-11
0.0,31.344145088440243,2.435161061776461,11970.636708951995,25.01165711761428,-5.466214391772367e-05,0.0,0.0001530619610009,7.389644451905042e-12
0.0,31.844145419495227,2.4353405244645487,12206.56136915335,25.01171977732406,-5.265300056843349e-05,0.0,0.0001473873408454,4.4001525527793695e-12
0.0,32.34414572570424,2.4355134667848723,12442.555496571536,25.011794066216623,-5.075253702436208e-05,0.0,0.0001420220887702,6.545886910627373e-12
0.0,32.84414600933924,2.435680237272942,12678.615774620936,25.011878598651062,-4.8953066848639705e-05,0.0,0.0001369441690581,6.273141622684565e-12
0.0,33.3441462724289,2.43584116011186,12914.7390962517,25.01197214064768,-4.7247569236838415e-05,0.0,0.0001321334681101,1.144039663722636e-11
0.0,33.84414651678826,2.435996537217004,13150.922547556936,25.012073592073254,-4.5629622166326e-05,0.0,0.0001275715973431,6.746900580928367e-12
